,strain,review_total
1111,elvis,39.0
1112,emerald jack,76.0
1113,emerald og,52.0
1114,emperor cookie dough,28.0
1115,endless sky,20.0
1116,enemy of the state,24.0
1117,enigma,29.0
1118,eran almog,35.0
1119,erdpurt,1.0
1120,erez,
1121,ether,3.0
1122,ethiopian,2.0
1123,ethos apex,1.0
1124,ethos hash plant bx1,
1125,euphoria,113.0
1126,eugene cream,
1127,euphoria cookies,13.0
1128,erez,
1129,ether,3.0
1130,ethiopian,2.0
1131,ethos apex,1.0
1132,ethos hash plant bx1,
1133,euphoria,113.0
1134,eugene cream,
1135,euphoria cookies,13.0
1136,everlast,
1137,exodus cheese,133.0
1138,extreme cream,57.0
1139,extreme og,14.0
1140,f 13,2.0
1141,f 13 throwback,
1142,fn louzer,
1143,f cut og,
1144,fpog,813.0
1145,face off bx2,1.0
1146,face off og,108.0
1147,face on fire,4.0
1148,faded glory,2.0
1149,fall 97,
1150,fallen angel,5.0
1151,false teeth,14.0
1152,fast eddy,7.0
1153,fat axl,
1154,fat nelson,
1155,fat purple,14.0
1156,fauxsido,1.0
1157,faygo red pop,12.0
1158,fighting buddha,3.0
1159,fire alien kush,58.0
1160,fire alien master,
1161,fire alien romulan,
1162,fire alien strawberry,3.0
1163,fire alien urkle,
1164,fire haze,43.0
1165,fire og,1018.0
1166,firewalker og,49.0
1167,first 48,23.0
1168,first light,1.0
1169,flaming cookies,20.0
1170,flo,608.0
1171,flo limone,11.0
1172,flo og,54.0
1173,flo walker,6.0
1174,florida og,
1175,flowerbomb kush,51.0
1176,flowers for algernon,4.0
1177,focaccia,
1178,forbidden fruit,466.0
1179,forbidden zkittlez,4.0
1180,formula one,1.0
1181,fortune cookies,131.0
1182,forum cut cookies s1,13.0
1183,foul mouth,6.0
1184,flowers for algernon,4.0
1185,focaccia,
1186,forbidden fruit,466.0
1187,forbidden zkittlez,4.0
1188,formula one,1.0
1189,fortune cookies,131.0
1190,forum cut cookies s1,13.0
1191,foul mouth,6.0
1192,four cups,4.0
