,strain,effect_1,effect_2,effect_3,effect_4,effect_5
468,bluniverse, relaxed, euphoric, happy, creative, giggly 
469,blurple, relaxed, euphoric, happy, uplifted, creative 
470,blush, creative, happy, relaxed, talkative, focused 
471,bob saget, euphoric, uplifted, happy, focused, creative 
472,bodega bubblegum, creative, euphoric, giggly, happy, hungry 
473,bog blue kush, euphoric, uplifted ,,,
474,bog sour grape, energetic, euphoric, giggly, happy ,
475,bogart, happy, uplifted, talkative, euphoric, giggly 
476,bluniverse, relaxed, euphoric, happy, creative, giggly 
477,blurple, relaxed, euphoric, happy, uplifted, creative 
478,blush, creative, happy, relaxed, talkative, focused 
479,bob saget, euphoric, uplifted, happy, focused, creative 
480,bodega bubblegum, creative, euphoric, giggly, happy, hungry 
481,bog blue kush, euphoric, uplifted ,,,
482,bog sour grape, energetic, euphoric, giggly, happy ,
483,bogart, happy, uplifted, talkative, euphoric, giggly 
484,boggle gum, happy, euphoric, uplifted, creative, energetic 
485,bona dea, relaxed, energetic, euphoric, focused, sleepy 
486,bonkers, euphoric, happy, relaxed ,,
487,booger, happy, uplifted, energetic, creative, relaxed 
488,boombaye, aroused, creative, energetic, focused, happy 
489,bootlegger, happy, relaxed, euphoric, uplifted, aroused 
490,bootylicious, happy, talkative, uplifted ,,
491,bordello, creative, aroused, relaxed, euphoric, sleepy 
492,boss hogg, happy, relaxed, euphoric, giggly, hungry 
493,boss og, relaxed, happy, uplifted, creative, euphoric 
494,boysenberry, energetic, creative, happy, euphoric, uplifted 
495,brain candy, creative, energetic ,,,
496,brains damage, sleepy, happy, relaxed, tingly, euphoric 
497,brainstorm haze, creative, euphoric, happy, uplifted, focused 
498,brainwreck, uplifted, happy, creative, euphoric, focused 
499,brand x, euphoric, talkative, giggly, sleepy, happy 
500,brandywine, relaxed, uplifted, hungry, creative, euphoric 
501,brazil amazonia, focused, uplifted, relaxed, energetic, euphoric 
502,brian berry cough, euphoric, happy, uplifted, focused, relaxed 
503,bright fire, hungry, relaxed, uplifted, euphoric, creative 
504,bright moments, uplifted, energetic, euphoric, focused, tingly 
505,broke diesel, uplifted, happy, relaxed, euphoric, creative 
506,bronze whaler, hungry, relaxed ,,,
507,brooklyn mango, aroused, happy, talkative, giggly, euphoric 
508,bruce banner, relaxed, euphoric, happy, uplifted, energetic 
509,bruce banner 3, happy, relaxed, euphoric, creative, uplifted 
510,bubba berry, relaxed, sleepy, euphoric, hungry, happy 
511,bubba doja, euphoric, relaxed, hungry, sleepy, happy 
512,bubba fresh, happy, aroused, energetic, euphoric, focused 
513,bubba kush, relaxed, sleepy, happy, euphoric, hungry 
514,bubba og, relaxed, happy, sleepy, hungry, giggly 
515,bubba tom hayes, happy, euphoric, uplifted, aroused, focused 
516,bubba x skunk, relaxed, creative, sleepy, talkative, euphoric 
517,bubbas bitch, hungry, relaxed, sleepy, tingly, uplifted 
518,bubbas gift, relaxed, sleepy, happy, energetic, euphoric 
519,bubble bomb, creative, happy, relaxed, aroused, euphoric 
520,bubble cheese, sleepy, happy, relaxed, creative, hungry 
521,bubble gum, happy, relaxed, euphoric, uplifted, creative 
522,bubbleberry, happy, energetic, euphoric, uplifted, tingly 
523,bubblegum kush, relaxed, euphoric, happy, sleepy, uplifted 
524,bubblegun, happy, euphoric, uplifted, focused, relaxed 
525,bubbas bitch, hungry, relaxed, sleepy, tingly, uplifted 
526,bubbas gift, relaxed, sleepy, happy, energetic, euphoric 
527,bubble bomb, creative, happy, relaxed, aroused, euphoric 
528,bubble cheese, sleepy, happy, relaxed, creative, hungry 
529,bubble gum, happy, relaxed, euphoric, uplifted, creative 
530,bubbleberry, happy, energetic, euphoric, uplifted, tingly 
531,bubblegum kush, relaxed, euphoric, happy, sleepy, uplifted 
532,bubblegun, happy, euphoric, uplifted, focused, relaxed 
533,bubblicious, relaxed, happy, sleepy, focused, euphoric 
534,buckeye purple, relaxed, sleepy, euphoric, happy, aroused 
535,buddha haze, energetic, creative, uplifted, happy, aroused 
536,buddha tahoe, relaxed, happy, euphoric, creative, talkative 
537,buddhas hand, energetic, euphoric, creative, aroused, talkative 
538,buddhas sister, relaxed, happy, sleepy, euphoric, uplifted 
539,buddhas tooth, talkative, aroused, creative, energetic, euphoric 
540,buffalo bill, euphoric, relaxed, happy, creative, energetic 
541,bugatti og, relaxed, sleepy, euphoric, tingly, happy 
542,burkle, relaxed, sleepy, hungry, euphoric, happy 
543,burmese kush, relaxed, happy, uplifted, euphoric, sleepy 
544,burnt cookies, relaxed, talkative, uplifted, euphoric, happy 
545,butter og, relaxed, hungry, giggly, happy, euphoric 
546,butterscotch, relaxed, sleepy, euphoric, focused, hungry 
547,c13 haze, euphoric, creative, energetic, giggly, happy 
548,c3, euphoric, giggly, happy, relaxed, talkative 
549,c3po, relaxed, sleepy, hungry, focused, uplifted 
550,c4, euphoric, happy, relaxed, focused, uplifted 
551,cbd blue shark, relaxed, happy, uplifted, focused, giggly 
552,cbd critical cure, relaxed, sleepy, giggly, happy, euphoric 
553,cbd critical mass, relaxed, happy, uplifted, sleepy, focused 
554,cbd kush, relaxed, happy, focused, uplifted, euphoric 
555,cbd lilly, relaxed, happy, energetic, euphoric, talkative 
556,cbd og, happy, relaxed, focused, tingly, uplifted 
557,cbd ox, aroused, happy, sleepy, euphoric, focused 
558,cbd rich blessing, aroused, focused, happy, relaxed, uplifted 
559,cbd shark, relaxed, sleepy, focused, happy, creative 
560,chr super og, relaxed, giggly, happy, hungry, uplifted 
561,csg, uplifted, euphoric, giggly, happy, relaxed 
562,cabbage patch, energetic, happy, uplifted, creative, focused 
563,cackleberry, happy, uplifted, focused, sleepy, euphoric 
564,cactus, relaxed, creative, happy, uplifted, sleepy 
565,cactus cooler, happy, uplifted, euphoric, creative, focused 
566,cadillac cookies, relaxed, sleepy, aroused, energetic, creative 
567,cadillac purple, relaxed, sleepy, happy, euphoric, hungry 
568,cali dragon, euphoric, happy, relaxed, uplifted, tingly 
569,cali gold, happy, relaxed, uplifted, sleepy, tingly 
570,cali jack, happy, creative, energetic, euphoric, focused 
571,cali kush, relaxed, happy, hungry, sleepy, uplifted 
572,california grapefruit, relaxed, happy, giggly, tingly, talkative 
573,california hash plant, hungry, talkative, happy, uplifted, relaxed 
574,california limes, energetic, euphoric, focused, giggly, creative 
575,california love og, happy, energetic, euphoric, focused, relaxed 
576,california orange, happy, euphoric, relaxed, uplifted, energetic 
577,california sour, euphoric, energetic, happy, focused, giggly 
578,cali jack, happy, creative, energetic, euphoric, focused 
579,cali kush, relaxed, happy, hungry, sleepy, uplifted 
580,california grapefruit, relaxed, happy, giggly, tingly, talkative 
581,california hash plant, hungry, talkative, happy, uplifted, relaxed 
582,california limes, energetic, euphoric, focused, giggly, creative 
583,california love og, happy, energetic, euphoric, focused, relaxed 
584,california orange, happy, euphoric, relaxed, uplifted, energetic 
585,california sour, euphoric, energetic, happy, focused, giggly 
586,california sour diesel, creative, energetic, euphoric, focused, relaxed 
587,cambodian, relaxed, focused, sleepy, creative, energetic 
588,cambodian haze, euphoric, happy, focused, uplifted, talkative 
589,candy apple, focused, uplifted, energetic, happy, hungry 
590,candy cane, happy, relaxed, euphoric, sleepy, tingly 
591,candy jack, energetic, uplifted, happy, creative, euphoric 
592,candyland, happy, uplifted, energetic, relaxed, euphoric 
593,canna tsu, relaxed, focused, happy, euphoric, sleepy 
594,canna wreck, energetic, uplifted, creative, focused, happy 
595,cannasutra, relaxed, happy, euphoric, aroused, hungry 
596,cannadential, euphoric, happy, uplifted, energetic, relaxed 
597,cannalope haze, uplifted, happy, creative, relaxed, euphoric 
598,cannalope kush, happy, energetic, focused, uplifted, relaxed 
599,cannatonic, relaxed, happy, uplifted, focused, energetic 
600,capers, relaxed, uplifted, happy, hungry, sleepy 
601,capleton, happy, giggly, euphoric, relaxed, aroused 
602,captain america og, relaxed, euphoric, uplifted, happy, focused 
603,captains cake, happy, relaxed, euphoric, focused, uplifted 
604,caramel cake, euphoric, happy, relaxed, sleepy, uplifted 
605,caramel candy kush, relaxed, happy, creative, hungry, sleepy 
606,caramel kona coffee cookies, aroused, creative, energetic, euphoric, focused 
607,caramel kona coffee kush, relaxed, sleepy, uplifted, euphoric, giggly 
608,caramelicious, relaxed, happy, euphoric, uplifted, focused 
609,caramella, euphoric, sleepy, aroused, relaxed, giggly 
610,caramelo, happy, relaxed, uplifted, energetic, euphoric 
611,carl sagan, creative, euphoric, happy, relaxed, focused 
612,carmel cough, energetic, euphoric, focused, creative ,
613,carnival, talkative, uplifted, energetic, euphoric, creative 
614,carpet tape, aroused, relaxed, euphoric, hungry, sleepy 
615,cascadia kush, relaxed, sleepy, tingly, aroused, uplifted 
616,casey jones, happy, energetic, focused, uplifted, euphoric 
617,cashus clay, happy, uplifted, energetic, focused, relaxed 
618,casper og, relaxed, euphoric, creative, sleepy, focused 
619,cat piss, talkative, energetic, uplifted, happy, relaxed 
620,cataract kush, relaxed, sleepy, energetic, euphoric, happy 
621,catfish, uplifted, energetic, euphoric, happy, focused 
622,cello sweet og, relaxed, sleepy, creative, euphoric, focused 
623,central american, euphoric, hungry, uplifted, energetic, tingly 
624,cerebro haze, happy, relaxed, uplifted, creative, energetic 
625,chairman chem sou, energetic, happy, uplifted, creative, euphoric 
626,champagne diesel, euphoric, uplifted, creative, happy, relaxed 
627,champagne kush, relaxed, uplifted, happy, energetic, euphoric 
628,charlie sheen, happy, relaxed, uplifted, euphoric, sleepy 
629,charlottes web, relaxed, happy, uplifted, focused, energetic 
630,cheese, relaxed, happy, euphoric, uplifted, hungry 
631,central american, euphoric, hungry, uplifted, energetic, tingly 
632,cerebro haze, happy, relaxed, uplifted, creative, energetic 
633,chairman chem sou, energetic, happy, uplifted, creative, euphoric 
634,champagne diesel, euphoric, uplifted, creative, happy, relaxed 
635,champagne kush, relaxed, uplifted, happy, energetic, euphoric 
636,charlie sheen, happy, relaxed, uplifted, euphoric, sleepy 
637,charlottes web, relaxed, happy, uplifted, focused, energetic 
638,cheese, relaxed, happy, euphoric, uplifted, hungry 
639,cheese candy, happy, euphoric, relaxed, uplifted, creative 
640,cheeseburger, tingly, uplifted, relaxed, aroused, creative 
641,cheesewreck, euphoric, energetic, tingly, talkative, focused 
642,chef kush, sleepy, creative, giggly, happy, relaxed 
643,chem berry diesel, happy, relaxed, uplifted ,,
644,chem beyond diesel cbd, giggly, happy, hungry ,,
645,chem crush, energetic, happy, talkative, creative, focused 
646,chem dog, relaxed, sleepy, happy, euphoric, hungry 
647,chem jack, creative, happy, talkative, uplifted, aroused 
648,chem jong ill, uplifted, creative, energetic, euphoric, happy 
649,chem scout, relaxed, focused, sleepy, tingly, hungry 
650,chem valley kush, happy, uplifted, energetic, talkative, hungry 
651,chems sister, creative, happy, euphoric, focused, relaxed 
652,chemwreck, happy, relaxed, euphoric, talkative, focused 
653,chemdawg sour diesel, euphoric, relaxed, sleepy, happy, hungry 
654,chemdawg, happy, relaxed, euphoric, uplifted, creative 
655,chemdawg 4 x alien og kush, focused, uplifted, energetic, relaxed, happy 
656,chemdawg 4, relaxed, euphoric, happy, uplifted, tingly 
657,chemdawg 91, happy, relaxed, euphoric, uplifted, focused 
658,chemmy jones, happy, energetic, focused, creative, uplifted 
659,chemnesia, euphoric, energetic, focused, happy, relaxed 
660,chemo, relaxed, hungry, sleepy, euphoric, tingly 
661,cherwillie, energetic, happy, focused, euphoric, talkative 
662,chernobyl, uplifted, happy, relaxed, euphoric, energetic 
663,cherries jubilee, relaxed, focused, euphoric, uplifted, happy 
664,cherry ak 47, relaxed, euphoric, happy, uplifted, talkative 
665,cherry bomb, relaxed, uplifted, energetic, euphoric, focused 
666,cherry cookies, happy, focused, uplifted, euphoric, relaxed 
667,cherry cream pie, relaxed, happy, uplifted, euphoric, sleepy 
668,cherry diesel, euphoric, relaxed, happy, uplifted, aroused 
669,cherry durban poison, euphoric, creative, happy, energetic, aroused 
670,cherry fire, creative, euphoric, happy, hungry, relaxed 
671,cherry fuel, happy, relaxed ,,,
672,cherry grapefruit, creative, happy, focused, relaxed, uplifted 
673,cherry kola, relaxed, sleepy, euphoric, happy, talkative 
674,cherry kush, relaxed, happy, focused, sleepy, uplifted 
675,cherry limeade, relaxed, focused, hungry, happy, creative 
676,cherry mender, relaxed, aroused, focused, euphoric, happy 
677,cherry og, relaxed, euphoric, happy, focused, uplifted 
678,cherry pie, relaxed, happy, euphoric, uplifted, giggly 
679,cherry pie kush, happy, euphoric, uplifted, talkative, energetic 
680,cherry sauce, energetic, talkative, tingly, uplifted, creative 
681,cherry sherbet, relaxed, happy, tingly, giggly, euphoric 
682,cherry skunk, happy, relaxed, euphoric, creative, uplifted 
683,cherry slyder, focused, happy, relaxed, uplifted, euphoric 
684,cherry thunder fuck, happy, euphoric, uplifted, relaxed, talkative 
685,cherry og, relaxed, euphoric, happy, focused, uplifted 
686,cherry pie, relaxed, happy, euphoric, uplifted, giggly 
687,cherry pie kush, happy, euphoric, uplifted, talkative, energetic 
688,cherry sauce, energetic, talkative, tingly, uplifted, creative 
689,cherry sherbet, relaxed, happy, tingly, giggly, euphoric 
690,cherry skunk, happy, relaxed, euphoric, creative, uplifted 
691,cherry slyder, focused, happy, relaxed, uplifted, euphoric 
692,cherry thunder fuck, happy, euphoric, uplifted, relaxed, talkative 
693,cherry vanilla cookies, creative, euphoric, focused, happy, hungry 
694,cherry wine, relaxed, euphoric, focused, happy, uplifted 
695,chicle, euphoric, hungry, energetic, aroused, focused 
696,chiesel, uplifted, focused, euphoric, relaxed, creative 
697,china yunnan, relaxed, sleepy, hungry, uplifted, happy 
698,chiquita banana, relaxed, happy, sleepy, euphoric, uplifted 
699,chloe, euphoric, creative, uplifted, energetic, happy 
700,chocoholic, relaxed, sleepy, uplifted, happy, talkative 
701,chocolate cheesecake, relaxed, uplifted ,,,
702,chocolate chunk, sleepy, relaxed, euphoric, happy, uplifted 
703,chocolate diesel, happy, energetic, uplifted, euphoric, creative 
704,chocolate drop, euphoric, giggly, happy, relaxed, uplifted 
705,chocolate fondue, uplifted, relaxed, sleepy, happy, euphoric 
706,chocolate glue, focused, happy, relaxed, uplifted, euphoric 
707,chocolate hashberry, relaxed, happy, hungry, sleepy, creative 
708,chocolate kush, relaxed, euphoric, hungry, happy, uplifted 
709,chocolate lava, energetic, focused, happy, talkative ,
710,chocolate mint og, relaxed, sleepy, euphoric, happy, tingly 
711,chocolate og, euphoric, relaxed, happy, giggly, uplifted 
712,chocolate rain, creative, euphoric, happy, relaxed, uplifted 
713,chocolate sap, energetic, talkative, uplifted, focused, happy 
714,chocolate skunk, aroused, creative, energetic, focused, giggly 
715,chocolate thai, happy, creative, euphoric, giggly, uplifted 
716,chocolate thunder, happy, creative, uplifted, focused, energetic 
717,chocolope kush, relaxed, euphoric, creative, happy, uplifted 
718,chong star, relaxed, euphoric, focused, tingly, happy 
719,chronic, relaxed, uplifted, happy, euphoric, tingly 
720,chronic thunder, sleepy, euphoric, relaxed, happy, aroused 
721,chuck og, creative, relaxed, uplifted ,,
722,chuckys bride, happy, giggly, energetic, euphoric, talkative 
723,chunky diesel, happy, euphoric, focused, uplifted, energetic 
724,chupacabra, happy, uplifted, creative, euphoric, talkative 
725,church og, relaxed, sleepy, happy, uplifted, hungry 
