,strain,negative_1,negative_2,negative_3,negative_4,negative_5
2303,silverback gorilla, dry mouth, dry eyes, dizzy, paranoid, anxious 
2304,silverfalls kush, dizzy, dry eyes, dry mouth ,,
2305,silverhawks og, dry eyes, dizzy, paranoid ,,
2306,silver mountain, anxious, dry eyes, dry mouth ,,
2307,silver nina, dry mouth ,,,,
2308,silver pearl, dry mouth, dry eyes, anxious, dizzy, headache 
2309,silver surfer, paranoid, dry mouth, dizzy, dry eyes, anxious 
2310,silver train, dry mouth, dry eyes, headache, paranoid ,
2311,silverback gorilla, dry mouth, dry eyes, dizzy, paranoid, anxious 
2312,silverfalls kush, dizzy, dry eyes, dry mouth ,,
2313,silverhawks og, dry eyes, dizzy, paranoid ,,
2314,sin city kush, dry mouth, dizzy, dry eyes, anxious, headache 
2315,sin valley og, dry eyes, dry mouth, dizzy, anxious, paranoid 
2316,sinmint cookies, dry mouth, dry eyes, dizzy, headache, paranoid 
2317,sirius black, dry mouth, anxious, dry eyes, dizzy ,
2318,sister glue, dry mouth, dry eyes, dizzy, paranoid, anxious 
2319,sizzurp, dizzy, dry eyes, dry mouth ,,
2320,skins skunk, headache ,,,,
2321,skunk 47, dry mouth, dry eyes, dizzy ,,
2322,skunk dawg, dry mouth, dry eyes, anxious, paranoid, dizzy 
2323,skunk haze, dry mouth, dizzy, paranoid, dry eyes, anxious 
2324,skunk 1, dry mouth, dry eyes, paranoid, dizzy, headache 
2325,skunk plus, dizzy, dry mouth ,,,
2326,skunkberry, dry mouth, dry eyes, dizzy, headache, paranoid 
2327,skunky diesel, dry mouth, dry eyes, paranoid, dizzy ,
2328,sky lotus, dizzy, dry eyes, paranoid ,,
2329,sky master, dry mouth, headache, dry eyes, anxious, paranoid 
2330,skydog, dry mouth, dry eyes, dizzy ,,
2331,skywalker alien, dry mouth, dizzy, dry eyes, headache ,
2332,slazerbeam, dry eyes, dry mouth, anxious, paranoid ,
2333,sleeskunk, dry mouth, dry eyes, paranoid ,,
2334,sleestack, dry mouth, dry eyes, anxious, dizzy ,
2335,slimer og, dry mouth, anxious, dry eyes, dizzy, paranoid 
2336,smelliot, dizzy ,,,,
2337,smooth operator, dry mouth ,,,,
2338,snoop dogg og, dry mouth, dry eyes, dizzy, anxious, paranoid 
2339,snoop s dream, dry mouth, dry eyes, dizzy, anxious, paranoid 
2340,snow bud, dry mouth, headache, dry eyes, dizzy, paranoid 
2341,snow diesel, dry mouth, dry eyes, dizzy ,,
2342,snow leopard, dry eyes, dry mouth, dizzy, paranoid, anxious 
2343,snow lotus, anxious, dizzy, dry mouth ,,
2344,snow monster, dry mouth, dry eyes, dizzy, anxious ,
2345,snow mountain, dry mouth ,,,,
2346,snow ryder, dizzy ,,,,
2347,snow white, dry mouth, headache, dry eyes, dizzy, paranoid 
2348,snowland, dizzy, dry mouth, dry eyes, anxious, paranoid 
2349,snowcap, dry mouth, paranoid, dry eyes, anxious, headache 
2350,sojay haze, dry mouth, anxious, dry eyes, headache, paranoid 
2351,somango, dry mouth, dizzy, dry eyes, headache, anxious 
2352,sonic screwdriver, dry mouth, anxious, dizzy, dry eyes ,
2353,sonoma coma, paranoid, dry mouth, dry eyes, dizzy, headache 
2354,snowcap, dry mouth, paranoid, dry eyes, anxious, headache 
2355,sojay haze, dry mouth, anxious, dry eyes, headache, paranoid 
2356,somango, dry mouth, dizzy, dry eyes, headache, anxious 
2357,sonic screwdriver, dry mouth, anxious, dizzy, dry eyes ,
2358,sonoma coma, paranoid, dry mouth, dry eyes, dizzy, headache 
2359,sorcerers apprentice, dry eyes, dry mouth, dizzy ,,
2360,soul assassin og, dry mouth, dizzy, headache, paranoid, anxious 
2361,soul shine, headache ,,,,
2362,soulshine aloha, dry mouth, dry eyes ,,,
2363,sour alien, dry eyes, dry mouth, dizzy, anxious, headache 
2364,sour amnesia, dry mouth, dry eyes, anxious, paranoid, dizzy 
2365,sour ape, dry eyes, dry mouth ,,,
2366,sour apple, dry eyes, dry mouth, paranoid, dizzy, headache 
2367,sour banana sherbet, dry mouth, dry eyes, paranoid, anxious, dizzy 
2368,sour boggle, anxious, dry eyes, paranoid ,,
2369,sour breath, anxious, dry eyes, dry mouth, paranoid ,
2370,sour bubba, dry mouth, dry eyes ,,,
2371,sour bubble, dry mouth, dizzy, dry eyes, anxious ,
2372,sour candy, dry mouth, dry eyes, anxious, dizzy ,
2373,sour chees, dry mouth, dry eyes, paranoid, dizzy, headache 
2374,sour cherry sherbert, dry mouth, paranoid, dry eyes, headache ,
2375,sour chocolate, dry eyes, dry mouth, headache, dizzy ,
2376,sour chunk, dry eyes, dry mouth, anxious, dizzy, headache 
2377,sour cookies, dry mouth, paranoid, dry eyes, anxious, dizzy 
2378,sour cream, dry mouth, dry eyes, dizzy, anxious, paranoid 
2379,sour diesel, dry mouth, dry eyes, anxious, paranoid, dizzy 
2380,sour dream, dry mouth, dry eyes, dizzy, anxious, headache 
2381,sour dubble, dry mouth, dry eyes, headache ,,
2382,sour flower, dry mouth, dry eyes, dizzy, anxious ,
2383,sour grape, dry mouth, dry eyes, dizzy, paranoid, headache 
2384,sour haze, anxious, dry mouth, dry eyes, paranoid, dizzy 
2385,sour headband, dry eyes, anxious, dry mouth, dizzy, paranoid 
2386,sour jack, dry mouth, dizzy, paranoid, dry eyes, headache 
2387,sour jilly, dry eyes, headache, dry mouth ,,
2388,sour joker, dry mouth, dry eyes, anxious, dizzy, paranoid 
2389,sour kush, dry mouth, dry eyes, dizzy, headache, paranoid 
2390,sour lsd, headache, dry mouth, anxious, dizzy, paranoid 
2391,sour lemon og, dry mouth, dry eyes, paranoid, anxious, dizzy 
2392,sour lifesavers, anxious, headache, paranoid ,,
2393,sour maui, dry eyes, dry mouth, paranoid, anxious, dizzy 
2394,sour og, dry mouth, dry eyes, paranoid, anxious, dizzy 
2395,sour patch kiss, dry eyes, anxious, dry mouth, dizzy, headache 
2396,sour pebbles, dry mouth, dry eyes ,,,
2397,sour poison, dry mouth, dry eyes, anxious ,,
2398,sour power, dry eyes, dry mouth, dizzy, anxious, paranoid 
2399,sour power og, dry eyes, dry mouth, anxious, paranoid ,
2400,sour maui, dry eyes, dry mouth, paranoid, anxious, dizzy 
2401,sour og, dry mouth, dry eyes, paranoid, anxious, dizzy 
2402,sour patch kiss, dry eyes, anxious, dry mouth, dizzy, headache 
2403,sour pebbles, dry mouth, dry eyes ,,,
2404,sour poison, dry mouth, dry eyes, anxious ,,
2405,sour power, dry eyes, dry mouth, dizzy, anxious, paranoid 
2406,sour power og, dry eyes, dry mouth, anxious, paranoid ,
2407,sour spyder, dry mouth, anxious ,,,
2408,sour star head, dry mouth, dry eyes ,,,
2409,sour strawberry, anxious, dry eyes, dry mouth, paranoid ,
2410,sour strawberry diesel, dry mouth, dry eyes, anxious, dizzy, paranoid 
2411,sour sunset, dry mouth, dry eyes, anxious, dizzy, headache 
2412,sour tangie, dry mouth, dry eyes, anxious, dizzy, headache 
2413,sour tsunami, dry mouth, dry eyes, headache, anxious, dizzy 
2414,sour urkle, dry mouth, anxious, paranoid, dry eyes, dizzy 
2415,sour willie, dry mouth, dry eyes, headache, anxious, dizzy 
2416,sourlope, dizzy, dry mouth, paranoid, dry eyes, anxious 
2417,south american, dry eyes, dry mouth, dizzy, paranoid, anxious 
2418,south asian, dry eyes, dry mouth ,,,
2419,south central la, dry mouth, dry eyes, paranoid ,,
2420,south indian, dry mouth, anxious, dry eyes, dizzy, headache 
2421,southern lights, dry eyes, dry mouth ,,,
2422,space bomb, dry mouth, dry eyes, dizzy, anxious, paranoid 
2423,space cake, dry mouth ,,,,
2424,space candy, dry mouth, dry eyes, anxious, dizzy, headache 
2425,space cream, dry mouth, paranoid, anxious, dry eyes, headache 
2426,space dawg, dry mouth, dry eyes, dizzy, headache, paranoid 
2427,space jill, dry mouth, dry eyes, dizzy, paranoid ,
2428,space monster, dizzy, dry mouth, headache ,,
2429,space needle, dry mouth, dry eyes, anxious, dizzy ,
2430,space queen, dry mouth, dry eyes, dizzy, paranoid, headache 
2431,special k, dry mouth, dry eyes ,,,
2432,special kush 1, dry mouth, dry eyes ,,,
2433,special sauce, paranoid ,,,,
2434,spiked punch, dry mouth, headache ,,,
2435,spirit of 76, dry mouth, dizzy, anxious, dry eyes ,
2436,spoetnik 1, dry mouth, paranoid, dizzy, dry eyes ,
2437,sputnik, dry mouth, dry eyes, anxious, dizzy, headache 
2438,star 47, dizzy ,,,,
2439,star berry, dry mouth, dry eyes, paranoid ,,
2440,star killer, dry mouth, dry eyes, dizzy, anxious, paranoid 
2441,star master kush, dry mouth, dry eyes ,,,
2442,star pupil, dry mouth ,,,,
2443,star tonic, dry eyes, dry mouth ,,,
2444,starbud, dry mouth, dry eyes, anxious, dizzy, headache 
2445,stardawg, dry mouth, dry eyes, anxious, dizzy, paranoid 
2446,star berry, dry mouth, dry eyes, paranoid ,,
2447,star killer, dry mouth, dry eyes, dizzy, anxious, paranoid 
2448,star master kush, dry mouth, dry eyes ,,,
2449,star pupil, dry mouth ,,,,
2450,star tonic, dry eyes, dry mouth ,,,
2451,starbud, dry mouth, dry eyes, anxious, dizzy, headache 
2452,stardawg, dry mouth, dry eyes, anxious, dizzy, paranoid 
2453,stardawg guava, dry mouth, dry eyes, anxious, paranoid, dizzy 
2454,starfighter, dry mouth, anxious, paranoid, dizzy, dry eyes 
2455,starman, dry mouth ,,,,
2456,starry night, dry mouth, dry eyes ,,,
2457,stella blue, headache, dry mouth, dry eyes, paranoid ,
2458,stephen hawking kush, dry mouth, dry eyes, dizzy, headache, paranoid 
2459,stevie wonder, dry mouth, dry eyes, headache ,,
2460,stinky pete, dry mouth, anxious ,,,
2461,straight as haze, dry mouth, headache, paranoid ,,
2462,strawberry, dry eyes, dry mouth, dizzy, headache, paranoid 
2463,strawberry amnesia, dry mouth, dry eyes, dizzy, anxious, headache 
2464,strawberry banana, dry mouth, dry eyes, anxious, dizzy, paranoid 
2465,strawberry blonde, dry mouth ,,,,
2466,strawberry blondie, anxious, dry eyes, paranoid, dry mouth ,
2467,strawberry blue, dry mouth, dry eyes, dizzy, headache ,
2468,strawberry cheesecake, dry mouth, dry eyes, paranoid, headache, dizzy 
2469,strawberry cough, dry mouth, dry eyes, dizzy, paranoid, anxious 
2470,strawberry diesel, dry mouth, dizzy, dry eyes, paranoid, headache 
2471,strawberry dream, dry mouth, dry eyes, dizzy, anxious, paranoid 
2472,strawberry fields, paranoid, dry mouth, dry eyes, anxious, headache 
2473,strawberry frost, dry mouth, headache ,,,
2474,strawberry ice, dry mouth, dry eyes, paranoid, dizzy, anxious 
2475,strawberry kush, dry mouth, dry eyes, paranoid, anxious, dizzy 
2476,strawberry lemonade, dry mouth, dry eyes, anxious, dizzy, paranoid 
2477,strawberry milkshake, headache, dry eyes ,,,
2478,strawberry og, dry mouth, dizzy, dry eyes, anxious, paranoid 
2479,strawberry satori, paranoid, anxious, dry mouth ,,
2480,strawberry shortcake, dry eyes, dry mouth, anxious ,,
2481,sublime, dry mouth, dry eyes, anxious, headache ,
2482,sugar black rose, dry mouth, dry eyes, dizzy, headache, anxious 
2483,sugar cookie, dry eyes, dry mouth, dizzy, anxious, headache 
2484,sugar kush, dizzy, dry mouth, dry eyes, anxious, paranoid 
2485,sugar mama, dry eyes, dry mouth, anxious ,,
2486,sugar plum, dry mouth, dry eyes, anxious, dizzy, headache 
2487,joliet jake, dry mouth, dry eyes, dizzy ,,
2488,sugar punch, dry mouth, dry eyes, headache, anxious, paranoid 
2489,sugar cookie, dry eyes, dry mouth, dizzy, anxious, headache 
2490,sugar kush, dizzy, dry mouth, dry eyes, anxious, paranoid 
2491,sugar mama, dry eyes, dry mouth, anxious ,,
2492,sugar plum, dry mouth, dry eyes, anxious, dizzy, headache 
2493,joliet jake, dry mouth, dry eyes, dizzy ,,
2494,sugar punch, dry mouth, dry eyes, headache, anxious, paranoid 
2495,sugar shack, dry mouth, dry eyes, dizzy, paranoid ,
2496,suicide girl, dizzy, dry eyes, dry mouth, headache, paranoid 
2497,summer breeze, dry mouth ,,,,
2498,summertime squeeze, dry eyes, dry mouth, paranoid ,,
2499,sumo grande, dry mouth ,,,,
2500,sun ra, dry mouth ,,,,
2501,sunburn, anxious, paranoid, dry mouth, dry eyes, headache 
2502,sundae driver, dry mouth, dry eyes, paranoid, anxious ,
2503,sunny d, dry eyes, dry mouth, anxious, dizzy, paranoid 
2504,sunset, dry mouth, dry eyes, paranoid, dizzy, headache 
2505,sunset haze, dry mouth, dry eyes ,,,
2506,sunshine, dry mouth, dry eyes, dizzy, anxious, headache 
2507,sunshine 4, dry mouth, dry eyes, anxious, paranoid ,
2508,sunshine daydream, dry mouth, dry eyes, anxious, dizzy, headache 
2509,supa don, dry mouth, dry eyes, paranoid ,,
2510,super chronic, dry mouth ,,,,
2511,super blue dream, dry eyes, dry mouth, dizzy, paranoid, anxious 
2512,super bud, dry mouth, dry eyes, anxious, dizzy, paranoid 
2513,super cat piss, dry mouth, dry eyes, paranoid ,,
2514,super cheese, dry mouth, dizzy, anxious, paranoid ,
2515,super g, dizzy, dry eyes, dry mouth, paranoid ,
2516,super glu, dry mouth, paranoid, dry eyes ,,
2517,super green crack, dry mouth, headache, anxious, paranoid, dizzy 
2518,super jack, dry eyes, dry mouth, anxious, dizzy, paranoid 
2519,super kush, dry mouth, dry eyes, paranoid, dizzy, headache 
2520,super lemon haze, dry mouth, dry eyes, paranoid, dizzy, anxious 
2521,super lemon og, dry mouth, dry eyes, dizzy, anxious, headache 
2522,super silver haze, dry mouth, dry eyes, anxious, paranoid, dizzy 
2523,super silver lights, dry mouth ,,,,
2524,super snow dog, dry mouth, dry eyes, anxious, dizzy, paranoid 
2525,super snow lotus, anxious, dry eyes, dry mouth ,,
2526,super sour diesel, dry mouth, dry eyes, headache, dizzy, paranoid 
2527,super sour lemon, dry mouth ,,,,
2528,super sour og, dry eyes, dry mouth, dizzy ,,
2529,super sour skunk, dry eyes, dry mouth, anxious, paranoid, dizzy 
2530,super sour widow, dry mouth, anxious, dry eyes, dizzy, paranoid 
2531,super sweet, anxious ,,,,
2532,supergirl, dry eyes, dry mouth, paranoid ,,
2533,superglue, dry mouth, dry eyes, anxious, paranoid, dizzy 
2534,superman og, dry mouth, paranoid, anxious, headache, dry eyes 
2535,supermax og, dry eyes, dry mouth, dizzy, headache ,
2536,supernatural, dry eyes, dry mouth ,,,
2537,super sour skunk, dry eyes, dry mouth, anxious, paranoid, dizzy 
2538,super sour widow, dry mouth, anxious, dry eyes, dizzy, paranoid 
2539,super sweet, anxious ,,,,
2540,supergirl, dry eyes, dry mouth, paranoid ,,
2541,superglue, dry mouth, dry eyes, anxious, paranoid, dizzy 
2542,superman og, dry mouth, paranoid, anxious, headache, dry eyes 
2543,supermax og, dry eyes, dry mouth, dizzy, headache ,
2544,supernatural, dry eyes, dry mouth ,,,
2545,supernova, dry mouth, dry eyes, dizzy, anxious, headache 
2546,superstar, dry mouth, dizzy, dry eyes, anxious, paranoid 
2547,suzy q, dry mouth, dry eyes, headache ,,
2548,swazi gold, dry mouth, dry eyes, anxious, paranoid, dizzy 
2549,sweet  sour cindy, paranoid, anxious, dry mouth ,,
2550,sweet amnesia haze, dry mouth, dry eyes ,,,
2551,sweet baby jane, dry mouth, anxious, dry eyes, paranoid, headache 
2552,sweet berry, dry mouth, anxious, paranoid ,,
2553,sweet black angel, dry mouth, dry eyes ,,,
2554,sweet cheese, dizzy, dry mouth, dry eyes, paranoid, anxious 
2555,sweet cindy, anxious, paranoid ,,,
2556,sweet deep grapefruit, dry mouth, dry eyes, paranoid ,,
2557,sweet diesel, anxious, dry mouth, headache, dry eyes, paranoid 
2558,sweet dream, dry mouth, dry eyes, anxious, dizzy, paranoid 
2559,sweet dreams, dry mouth, dry eyes, anxious, dizzy, headache 
2560,sweet dreams b44e9f5d217a4d5eba9365ffa0047a94, dry eyes, dry mouth, headache, paranoid ,
2561,sweet harlem diesel, dry mouth, dry eyes ,,,
2562,sweet jane, dry mouth, headache ,,,
2563,sweet jesus, dry eyes, dry mouth ,,,
2564,sweet kush, dry eyes, dry mouth, dizzy, paranoid, anxious 
2565,sweet lafayette, dizzy, dry eyes, dry mouth, headache ,
2566,sweet nina, anxious, dizzy, paranoid, dry eyes ,
2567,sweet pure cbd, dry eyes ,,,,
2568,sweet skunk, dry mouth, anxious, dizzy, headache, dry eyes 
2569,sweet tooth, dry mouth, dry eyes, dizzy, paranoid, anxious 
2570,sweet and sour widow, dry mouth, dizzy, dry eyes, headache, paranoid 
2571,sweeties, dry mouth ,,,,
2572,swiss bliss, dry mouth, dry eyes, dizzy, paranoid, anxious 
2573,swiss gold, dry mouth, dizzy, dry eyes, anxious, paranoid 
2574,swiss, anxious, dry mouth, dry eyes ,,
2575,swiss tsunami, dry eyes, dry mouth, headache ,,
2576,thc bomb, dry mouth, dry eyes, paranoid, anxious, dizzy 
2577,tjs cbd, headache, dry eyes, dry mouth, dizzy ,
2578,tahoe alien, dry eyes, dry mouth, paranoid, anxious ,
2579,tahoe frostbite, dry mouth, dizzy, dry eyes ,,
2580,tahoe hydro champagne, dry mouth ,,,,
2581,tahoe hydro og, dizzy, dry eyes, dry mouth, paranoid, anxious 
2582,tahoe purps, anxious, dry mouth ,,,
2583,taliban poison, dizzy, dry mouth, headache, paranoid ,
2584,tangelo, dry mouth, paranoid, anxious ,,
2585,tangelo kush, dry mouth, paranoid ,,,
2586,tahoe frostbite, dry mouth, dizzy, dry eyes ,,
2587,tahoe hydro champagne, dry mouth ,,,,
2588,tahoe hydro og, dizzy, dry eyes, dry mouth, paranoid, anxious 
2589,tahoe purps, anxious, dry mouth ,,,
2590,taliban poison, dizzy, dry mouth, headache, paranoid ,
2591,tangelo, dry mouth, paranoid, anxious ,,
2592,tangelo kush, dry mouth, paranoid ,,,
2593,tangerine, dry mouth, paranoid, anxious, dry eyes, dizzy 
2594,tangerine dream, dry mouth, dry eyes, dizzy, headache, anxious 
2595,tangerine haze, dry mouth, dry eyes, headache, anxious, dizzy 
2596,tangerine kush, dry mouth, dry eyes, paranoid, headache, anxious 
2597,tangerine man, anxious, dry mouth, dizzy, dry eyes, paranoid 
2598,tangerine power, dry eyes, headache, anxious, dry mouth, dizzy 
2599,tangerine sunrise, dry mouth, dizzy, dry eyes ,,
2600,tangerine trainwreck haze, dry eyes, dry mouth, headache ,,
2601,tangie, dry mouth, dry eyes, anxious, paranoid, dizzy 
2602,tangie biscotti, dry eyes, dry mouth, dizzy, anxious, headache 
2603,tangie cookies, dry mouth, dry eyes, paranoid, anxious, dizzy 
2604,tangie dream, dry mouth, dry eyes, anxious, headache, paranoid 
2605,tangie ghost train, dry mouth, anxious, dizzy, dry eyes, paranoid 
2606,tangie sunrise, dry eyes, paranoid, dry mouth ,,
2607,tangier chilly, dry eyes, dry mouth ,,,
2608,tangilope, dry mouth, headache, paranoid, anxious, dry eyes 
2609,tango kush, dry mouth, dry eyes, anxious, paranoid, dizzy 
2610,tardis, dry mouth, anxious, paranoid, dry eyes ,
2611,tembo kush, dry mouth ,,,,
2612,terminator og, dry mouth, dry eyes ,,,
2613,tesla, dry mouth ,,,,
2614,tesla tower, dizzy, dry eyes ,,,
2615,thai, dry eyes, dry mouth, dizzy, anxious, headache 
2616,thai fantasy, dry mouth ,,,,
2617,thai girl, anxious, dry mouth, dizzy, dry eyes, headache 
2618,thai haze, dry mouth, anxious, dizzy, headache, dry eyes 
2619,thai lights, anxious, dry mouth, dry eyes ,,
2620,thai tanic, dry eyes, dry mouth, paranoid, anxious, dizzy 
2621,thaidal wave, dizzy ,,,,
2622,the black, dry mouth, dry eyes, anxious, paranoid, dizzy 
2623,the blood, dry mouth, dry eyes ,,,
2624,the brotherhood, dry mouth, dry eyes ,,,
2625,the cough, dry mouth, dizzy, paranoid, anxious ,
2626,the doctor, dry mouth, dry eyes, dizzy, paranoid, anxious 
2627,the flav, dry mouth, dry eyes, anxious, dizzy, headache 
2628,the fuzz, dry mouth ,,,,
2629,the grunk, dry mouth, dry eyes, anxious, paranoid, dizzy 
2630,the doctor, dry mouth, dry eyes, dizzy, paranoid, anxious 
2631,the flav, dry mouth, dry eyes, anxious, dizzy, headache 
2632,the fuzz, dry mouth ,,,,
2633,the grunk, dry mouth, dry eyes, anxious, paranoid, dizzy 
2634,hog, dry mouth, dry eyes, dizzy, headache, paranoid 
2635,the loops, dry mouth ,,,,
2636,the ox, dry mouth, dry eyes, paranoid ,,
2637,the one, dry mouth, dry eyes, anxious ,,
2638,the ooze, dry mouth, dry eyes, dizzy, headache ,
2639,the real mccoy, dry eyes ,,,,
2640,the sauce, dry mouth, dry eyes, dizzy, headache, paranoid 
2641,the sheriff, dry eyes ,,,,
2642,the sister, dry mouth, dizzy, dry eyes ,,
2643,the third dimension, anxious, dry mouth, dry eyes ,,
2644,the truth, dry mouth, dry eyes, headache, paranoid, anxious 
2645,the vision, dry mouth, dry eyes, paranoid, anxious, dizzy 
2646,the void, headache, dry mouth, dry eyes, paranoid, dizzy 
2647,the white angel, anxious, dry eyes, dry mouth ,,
2648,the wife, dry mouth, dizzy, dry eyes, anxious ,
2649,thelonious skunk, dizzy, dry eyes, dry mouth ,,
2650,think different, dry mouth, dry eyes, dizzy, paranoid ,
2651,thors hammer, dry mouth, anxious, dizzy, dry eyes, paranoid 
2652,three blue kings, anxious, dry eyes, dry mouth ,,
2653,throwback kush, dry mouth ,,,,
2654,thunderbird rose, dry mouth ,,,,
2655,thunderstruck, dry mouth, headache ,,,
2656,tickle kush, dry mouth, anxious, dry eyes ,,
2657,tiger woods, dry mouth, paranoid ,,,
2658,tigers milk, dizzy, dry mouth, anxious, headache, dry eyes 
2659,tigermelon, dry mouth ,,,,
2660,tillamook strawberry, anxious, dry eyes, headache, dry mouth ,
2661,timewreck, anxious, dry mouth, dry eyes, dizzy, headache 
2662,tina danza, dry mouth, dry eyes, dizzy, headache ,
2663,titans haze, dry mouth ,,,,
2664,tokyo og, paranoid, dry eyes, anxious, dizzy, dry mouth 
2665,tommys home grown, dry mouth, dry eyes ,,,
2666,tora bora, dry mouth, dry eyes, headache, paranoid, anxious 
2667,toxic, dry mouth, dizzy ,,,
2668,toxic punch, anxious, dry eyes, dry mouth, dizzy, headache 
2669,training day, dry mouth, dry eyes, dizzy, headache, anxious 
2670,trainwreck, dry mouth, dry eyes, dizzy, anxious, paranoid 
2671,tranquil elephantizer remix, dry mouth, dizzy, dry eyes, anxious, paranoid 
2672,transformer, dry eyes, dry mouth ,,,
2673,trap star, dry eyes, dry mouth, paranoid ,,
2674,trash, dry mouth, dry eyes, headache, paranoid ,
2675,toxic, dry mouth, dizzy ,,,
2676,toxic punch, anxious, dry eyes, dry mouth, dizzy, headache 
2677,training day, dry mouth, dry eyes, dizzy, headache, anxious 
2678,trainwreck, dry mouth, dry eyes, dizzy, anxious, paranoid 
2679,tranquil elephantizer remix, dry mouth, dizzy, dry eyes, anxious, paranoid 
2680,transformer, dry eyes, dry mouth ,,,
2681,trap star, dry eyes, dry mouth, paranoid ,,
2682,trash, dry mouth, dry eyes, headache, paranoid ,
2683,travel joint, dry mouth, dry eyes ,,,
2684,treasure island, dry mouth, anxious, dry eyes ,,
2685,tree of life, dry mouth, dry eyes, headache ,,
2686,tres dawg, dry mouth, dry eyes, headache, paranoid, anxious 
2687,triangle kush, dry mouth, dizzy, dry eyes, headache, paranoid 
2688,trident, dry eyes, dry mouth ,,,
2689,trifecta, dry mouth, dry eyes, headache, paranoid ,
2690,trinity, dry mouth, dry eyes, paranoid, dizzy, headache 
2691,triple cheese, dry eyes, dry mouth, headache, anxious, dizzy 
2692,triple diesel, dry eyes, dry mouth, anxious, dizzy, paranoid 
2693,trix, anxious, dizzy ,,,
2694,trophy wife, dry mouth ,,,,
2695,tropic thunder, dry eyes, dry mouth, paranoid ,,
2696,tropical tang, dry mouth, headache, anxious, dizzy, dry eyes 
2697,tropicali, dry mouth, dry eyes, paranoid, anxious, dizzy 
2698,tropicana cookies, dry mouth, dry eyes, anxious, paranoid, headache 
2699,true face, dry eyes, dry mouth, dizzy ,,
2700,true og, dry mouth, dry eyes, headache, dizzy, anxious 
2701,true x, anxious, dizzy, dry mouth, paranoid ,
2702,trueberry, dry mouth ,,,,
2703,truffle butter, dry mouth, dizzy, dry eyes ,,
2704,tuna kush, dry mouth, anxious, dry eyes, paranoid, dizzy 
2705,tuna og, dry eyes, dry mouth, paranoid ,,
2706,turbo mind warp, dry eyes, dry mouth ,,,
2707,tutankhamon, dry eyes, dry mouth, dizzy, headache, anxious 
2708,tutti frutti, dry eyes, dry mouth, anxious, dizzy, headache 
2709,twista, dry mouth, dry eyes, anxious, paranoid ,
2710,twisted citrus, dry eyes, anxious, dry mouth ,,
2711,two beards, anxious, dry eyes, paranoid ,,
2712,tyson, anxious, dizzy, dry mouth, dry eyes, paranoid 
2713,u2 kush, dry mouth, dizzy, anxious, dry eyes, headache 
2714,uk cheese, dry mouth, dry eyes, dizzy, anxious, paranoid 
2715,uw, dry eyes, dry mouth, headache, paranoid, anxious 
2716,ultimate trainwreck, dry mouth, dry eyes, dizzy, headache, paranoid 
2717,ultra banana, dizzy, dry eyes, dry mouth, paranoid ,
2718,ultra sonja, dry mouth, headache, anxious, paranoid, dry eyes 
2719,ultra sour, dry eyes, dry mouth, paranoid, dizzy, anxious 
2720,ultraviolet og, dry mouth, dizzy, dry eyes, paranoid ,
2721,urkle train haze, dry mouth, dry eyes, anxious, dizzy ,
2722,vcdc, dry mouth, dry eyes, dizzy, anxious, paranoid 
2723,az super sour og, dry mouth, dizzy, anxious, paranoid ,
2724,vader og, dry mouth, anxious, dizzy ,,
2725,ultra banana, dizzy, dry eyes, dry mouth, paranoid ,
2726,ultra sonja, dry mouth, headache, anxious, paranoid, dry eyes 
2727,ultra sour, dry eyes, dry mouth, paranoid, dizzy, anxious 
2728,ultraviolet og, dry mouth, dizzy, dry eyes, paranoid ,
2729,urkle train haze, dry mouth, dry eyes, anxious, dizzy ,
2730,vcdc, dry mouth, dry eyes, dizzy, anxious, paranoid 
2731,az super sour og, dry mouth, dizzy, anxious, paranoid ,
2732,vader og, dry mouth, anxious, dizzy ,,
2733,valentine x, anxious, dry mouth, headache, dizzy, paranoid 
2734,valley ghash, dizzy, dry eyes, dry mouth ,,
2735,valley girl, dizzy, dry mouth, anxious, dry eyes, headache 
2736,vanilla gorilla, dry eyes ,,,,
2737,vanilla kush, dry mouth, dry eyes, anxious, dizzy, headache 
2738,velvet bud, dry mouth, dry eyes, anxious ,,
2739,venice og, dry eyes, dry mouth, headache, paranoid ,
2740,venom og, dry mouth, dizzy, dry eyes, anxious, headache 
2741,venus og, dry mouth ,,,,
2742,verde electric, dry mouth, headache, dry eyes, anxious, dizzy 
2743,versace, dry eyes, dry mouth, dizzy, headache, anxious 
2744,very berry haze, dry mouth, anxious, dizzy, dry eyes, paranoid 
2745,very cherry, anxious, dry eyes, dry mouth ,,
2746,vietnamese bubba, anxious, paranoid, dry eyes, dry mouth ,
2747,violator kush, dry mouth, dry eyes, anxious, dizzy, paranoid 
2748,violet delight, dry mouth, dry eyes, anxious, dizzy, headache 
2749,violeta, dry mouth, dry eyes ,,,
2750,viper, dry mouth, anxious, dizzy, dry eyes, headache 
2751,voodoo, paranoid, anxious, dry mouth, dry eyes, dizzy 
2752,vortex, dry mouth, dry eyes, dizzy, headache, paranoid 
2753,wmd, dry mouth, dry eyes ,,,
2754,wsu, dry mouth, dry eyes ,,,
2755,wtf, dry eyes ,,,,
2756,wabanaki, dry mouth, anxious, dry eyes ,,
2757,waipi o hapa, dry mouth, dry eyes, paranoid ,,
2758,wakanda og, dizzy, dry mouth ,,,
2759,waldo, dizzy, headache, paranoid ,,
