,strain,medical_1,medical_2,medical_3,medical_4,medical_5
484,bright moments, insomnia, muscle spasms, pain, stress ,
485,broke diesel, nausea, stress, insomnia, pain ,
486,bronze whaler, stress ,,,,
487,brooklyn mango, depression, lack of appetite, pain, stress, fatigue 
488,bruce banner, stress, depression, pain, headaches, fatigue 
489,bruce banner 3, stress, depression, pain, fatigue, cramps 
490,bubba berry, stress, insomnia, lack of appetite, nausea, fatigue 
491,bubba doja, inflammation, pain, stress, depression, headaches 
492,bubba kush, stress, pain, insomnia, depression, lack of appetite 
493,bubba og, insomnia, stress, pain, lack of appetite, depression 
494,bubba tom hayes, depression, stress, lack of appetite, fatigue ,
495,bubba x skunk, eye pressure, muscle spasms, depression, headaches, insomnia 
496,bubbas gift, stress, depression, pain, insomnia, spasticity 
497,bubble bomb, stress ,,,,
498,bubble cheese, depression, insomnia, stress, pain, headaches 
499,bubble gum, stress, depression, pain, insomnia, lack of appetite 
500,bubbleberry, pain, depression, fatigue, stress, insomnia 
501,bubblegum kush, stress, depression, insomnia, pain, lack of appetite 
502,bubblegun, stress, pain, insomnia, depression, nausea 
503,bubbas gift, stress, depression, pain, insomnia, spasticity 
504,bubble bomb, stress ,,,,
505,bubble cheese, depression, insomnia, stress, pain, headaches 
506,bubble gum, stress, depression, pain, insomnia, lack of appetite 
507,bubbleberry, pain, depression, fatigue, stress, insomnia 
508,bubblegum kush, stress, depression, insomnia, pain, lack of appetite 
509,bubblegun, stress, pain, insomnia, depression, nausea 
510,bubblicious, depression, stress, pain, headaches, nausea 
511,buckeye purple, insomnia, pain, stress, nausea, inflammation 
512,buddha haze, muscle spasms, stress, depression, pain, fatigue 
513,buddha tahoe, stress, depression, pain, muscle spasms, insomnia 
514,buddhas hand, depression, fatigue, stress, cramps, lack of appetite 
515,buddhas sister, stress, pain, depression, insomnia, inflammation 
516,buddhas tooth, depression, fatigue, inflammation, nausea, stress 
517,buffalo bill, depression, stress, fatigue, headaches, pain 
518,bugatti og, insomnia, eye pressure, pain, stress, headaches 
519,burkle, stress, insomnia, lack of appetite, cramps, fatigue 
520,burmese kush, stress, depression, pain, insomnia, fatigue 
521,burnt cookies, eye pressure, headaches, stress ,,
522,butter og, depression, stress, nausea, pain, insomnia 
523,butterscotch, stress, pain, insomnia, depression, muscle spasms 
524,c13 haze, pain, stress, muscle spasms, depression, nausea 
525,c3po, stress, insomnia, inflammation, pain, headaches 
526,c4, stress, insomnia, eye pressure, depression, pain 
527,cbd blue shark, pain, stress, inflammation, depression, fatigue 
528,cbd critical cure, stress, pain, muscle spasms, insomnia, depression 
529,cbd critical mass, stress, fatigue, pain, inflammation, muscle spasms 
530,cbd kush, stress, insomnia, pain, inflammation, depression 
531,cbd lilly, stress, headaches, fatigue ,,
532,cbd og, inflammation, pain, muscle spasms, headaches, stress 
533,cbd ox, stress, pain, depression, insomnia, inflammation 
534,cbd rich blessing, depression, stress ,,,
535,cbd shark, fatigue, pain, inflammation, stress, depression 
536,chr super og, headaches, insomnia, eye pressure, lack of appetite, muscle spasms 
537,csg, depression, fatigue, headaches, inflammation, nausea 
538,cabbage patch, stress, depression, muscle spasms, fatigue, pain 
539,cackleberry, depression, stress, spasticity, fatigue, inflammation 
540,cactus, pain, depression, insomnia, stress, lack of appetite 
541,cactus cooler, headaches, pain, stress, depression, inflammation 
542,cadillac cookies, headaches, lack of appetite, muscle spasms, spasticity ,
543,cadillac purple, insomnia, pain, fatigue, stress, depression 
544,cali dragon, pain, stress, depression, insomnia, fatigue 
545,cali gold, depression, pain, insomnia, inflammation, stress 
546,cali jack, stress, nausea, lack of appetite, depression, headaches 
547,cali kush, depression, lack of appetite, pain, stress, headaches 
548,california grapefruit, insomnia, lack of appetite, eye pressure, fatigue, headaches 
549,california hash plant, stress, inflammation, pain, cramps, lack of appetite 
550,california limes, depression ,,,,
551,california love og, depression, fatigue, headaches, nausea, stress 
552,california orange, depression, stress, pain, fatigue, insomnia 
553,california sour, depression, stress, insomnia, lack of appetite, muscle spasms 
554,cali jack, stress, nausea, lack of appetite, depression, headaches 
555,cali kush, depression, lack of appetite, pain, stress, headaches 
556,california grapefruit, insomnia, lack of appetite, eye pressure, fatigue, headaches 
557,california hash plant, stress, inflammation, pain, cramps, lack of appetite 
558,california limes, depression ,,,,
559,california love og, depression, fatigue, headaches, nausea, stress 
560,california orange, depression, stress, pain, fatigue, insomnia 
561,california sour, depression, stress, insomnia, lack of appetite, muscle spasms 
562,california sour diesel, depression, fatigue, inflammation, lack of appetite, stress 
563,cambodian, eye pressure, fatigue ,,,
564,cambodian haze, depression, stress, eye pressure, fatigue, headaches 
565,candy apple, depression, fatigue, pain, headaches, insomnia 
566,candy cane, insomnia, headaches, pain, lack of appetite, inflammation 
567,candy jack, depression, fatigue, stress, pain, eye pressure 
568,candyland, stress, depression, pain, fatigue, headaches 
569,canna tsu, pain, stress, inflammation, depression, fatigue 
570,cannasutra, pain, stress, inflammation, insomnia, depression 
571,cannadential, pain, stress, depression, insomnia, nausea 
572,cannalope haze, stress, depression, pain, inflammation, fatigue 
573,cannalope kush, stress, depression, pain, fatigue, headaches 
574,cannatonic, stress, pain, depression, inflammation, headaches 
575,capers, headaches, depression, muscle spasms, pain, insomnia 
576,capleton, eye pressure, pain, stress, depression, fatigue 
577,captain america og, depression, stress, nausea, pain, eye pressure 
578,captains cake, depression, pain, stress, insomnia, inflammation 
579,caramel candy kush, pain, insomnia, lack of appetite, stress, headaches 
580,caramel kona coffee kush, eye pressure, stress, pain, depression, inflammation 
581,caramelicious, depression, stress, pain, nausea, insomnia 
582,caramella, insomnia, pain, depression, stress, eye pressure 
583,caramelo, depression, stress, lack of appetite, insomnia, headaches 
584,carl sagan, stress, depression, fatigue, muscle spasms, pain 
585,carmel cough, pain, stress, depression, seizures ,
586,carnival, depression, eye pressure, fatigue, insomnia, lack of appetite 
587,carpet tape, lack of appetite, pain, fatigue, headaches, cramps 
588,cascadia kush, stress, pain, insomnia, depression, headaches 
589,casey jones, depression, stress, pain, fatigue, insomnia 
590,cashus clay, stress, pain, nausea, depression, fatigue 
591,casper og, stress, depression, pain, insomnia, headaches 
592,cat piss, stress, pain, depression, fatigue, lack of appetite 
593,cataract kush, stress, pain, insomnia, depression, nausea 
594,catfish, stress, pain, depression, fatigue, eye pressure 
595,cello sweet og, fatigue ,,,,
596,central american, depression, eye pressure, lack of appetite, headaches, pain 
597,cerebro haze, depression, lack of appetite, stress ,,
598,chairman chem sou, depression, pain, stress, insomnia, muscle spasms 
599,champagne diesel, stress, depression, inflammation ,,
600,champagne kush, depression, pain, stress, muscle spasms, eye pressure 
601,charlie sheen, stress, pain, depression, insomnia, eye pressure 
602,charlottes web, stress, pain, depression, inflammation, muscle spasms 
603,cheese, pain, stress, depression, insomnia, lack of appetite 
604,central american, depression, eye pressure, lack of appetite, headaches, pain 
605,cerebro haze, depression, lack of appetite, stress ,,
606,chairman chem sou, depression, pain, stress, insomnia, muscle spasms 
607,champagne diesel, stress, depression, inflammation ,,
608,champagne kush, depression, pain, stress, muscle spasms, eye pressure 
609,charlie sheen, stress, pain, depression, insomnia, eye pressure 
610,charlottes web, stress, pain, depression, inflammation, muscle spasms 
611,cheese, pain, stress, depression, insomnia, lack of appetite 
612,cheese candy, stress, lack of appetite, pain, depression, insomnia 
613,cheeseburger, pain, inflammation, depression, eye pressure, headaches 
614,cheesewreck, depression, fatigue, pain, stress, insomnia 
615,chef kush, depression, lack of appetite, pain, stress ,
616,chem crush, depression, fatigue, stress, lack of appetite, pain 
617,chem dog, insomnia, pain, stress, depression, lack of appetite 
618,chem jack, fatigue, depression, inflammation, insomnia, muscle spasms 
619,chem scout, stress, depression, lack of appetite, pain, insomnia 
620,chem valley kush, stress, pain, depression, lack of appetite, insomnia 
621,chems sister, depression, lack of appetite, stress, pain, fatigue 
622,chemwreck, stress, depression, insomnia, fatigue, lack of appetite 
623,chemdawg sour diesel, stress, insomnia, pain, depression, fatigue 
624,chemdawg, stress, depression, pain, fatigue, insomnia 
625,chemdawg 4 x alien og kush, stress, depression, fatigue, pain, inflammation 
626,chemdawg 4, stress, pain, depression, insomnia, muscle spasms 
627,chemdawg 91, stress, pain, fatigue, depression, headaches 
628,chemmy jones, depression, pain, stress, eye pressure, insomnia 
629,chemnesia, depression, stress, fatigue, inflammation, pain 
630,chemo, stress, pain, headaches, muscle spasms, lack of appetite 
631,cherwillie, headaches, stress, depression, pain ,
632,chernobyl, stress, depression, pain, nausea, fatigue 
633,cherries jubilee, depression, insomnia, stress, pain, nausea 
634,cherry ak 47, stress, pain, depression, inflammation, fatigue 
635,cherry bomb, pain, stress, depression, fatigue, nausea 
636,cherry cookies, depression, pain, stress, muscle spasms, headaches 
637,cherry cream pie, pain, lack of appetite, depression, headaches, insomnia 
638,cherry diesel, depression, stress, pain, lack of appetite, nausea 
639,cherry durban poison, depression, fatigue, pain, headaches, stress 
640,cherry fire, depression, lack of appetite, muscle spasms, pain, stress 
641,cherry grapefruit, lack of appetite, stress, cramps, depression, fatigue 
642,cherry kola, stress, depression, insomnia, pain, lack of appetite 
643,cherry kush, stress, depression, insomnia, fatigue, pain 
644,cherry limeade, lack of appetite, nausea, depression, fatigue, seizures 
645,cherry mender, cramps, depression, nausea, pain, fatigue 
646,cherry og, stress, inflammation, pain, depression, lack of appetite 
647,cherry pie, stress, depression, pain, insomnia, lack of appetite 
648,cherry pie kush, stress, depression, pain, insomnia, lack of appetite 
649,cherry sauce, headaches, stress ,,,
650,cherry sherbet, stress, pain, depression, fatigue, nausea 
651,cherry skunk, pain, stress, depression, fatigue, headaches 
652,cherry slyder, pain ,,,,
653,cherry thunder fuck, pain, stress, depression, muscle spasms, headaches 
654,cherry og, stress, inflammation, pain, depression, lack of appetite 
655,cherry pie, stress, depression, pain, insomnia, lack of appetite 
656,cherry pie kush, stress, depression, pain, insomnia, lack of appetite 
657,cherry sauce, headaches, stress ,,,
658,cherry sherbet, stress, pain, depression, fatigue, nausea 
659,cherry skunk, pain, stress, depression, fatigue, headaches 
660,cherry slyder, pain ,,,,
661,cherry thunder fuck, pain, stress, depression, muscle spasms, headaches 
662,cherry vanilla cookies, depression, headaches, insomnia, lack of appetite, muscle spasms 
663,cherry wine, pain, stress, depression, nausea, inflammation 
664,chiesel, stress, depression, pain, fatigue, nausea 
665,china yunnan, stress, depression, lack of appetite, fatigue, headaches 
666,chiquita banana, pain, insomnia, stress, lack of appetite, headaches 
667,chloe, depression, insomnia, pain, stress, inflammation 
668,chocolate chunk, pain, stress, insomnia, headaches, muscle spasms 
669,chocolate diesel, stress, fatigue, pain, inflammation, depression 
670,chocolate drop, depression, stress, insomnia ,,
671,chocolate fondue, seizures, stress, depression, headaches, lack of appetite 
672,chocolate glue, stress, depression, fatigue, insomnia, pain 
673,chocolate hashberry, stress, lack of appetite, pain, inflammation, muscle spasms 
674,chocolate kush, stress, lack of appetite, muscle spasms, fatigue, nausea 
675,chocolate lava, cramps, depression, headaches, stress ,
676,chocolate mint og, insomnia, pain, depression, stress, headaches 
