,strain,parent_1,parent_2,parent_3,parent_4,parent_5,parent_6,parent_7
2366,n,n,n,n,n,n,n,n
2367,pineapple cookies,platinum girl scout cookies,og poison,n,n,n,n,n
2368,pineapple diesel,n,n,n,n,n,n,n
2369,pineapple dog shit,chemdawg 4,n,n,n,n,n,n
2370,pineapple express,trainwreck,hawaiian,n,n,n,n,n
2371,pineapple fields,snow bud,pineapple,kali mist,n,n,n,n
2372,pineapple haze,pineapple,haze,n,n,n,n,n
2373,pineapple jack,pineapple,jack herer,n,n,n,n,n
2374,pineapple kush,master kush,pineapple,n,n,n,n,n
2375,pineapple mayhem,n,n,n,n,n,n,n
2376,pineapple og,pineapple express,og kush,n,n,n,n,n
2377,pineapple punch,skunk no 1,n,n,n,n,n,n
2378,pineapple purple skunk,pineapple,purple skunk,n,n,n,n,n
2379,pineapple purps,n,n,n,n,n,n,n
2380,pineapple sage,cinderella 99,sage,n,n,n,n,n
2381,pineapple sage,n,n,n,n,n,n,n
2382,pineapple skunk,cheese,pineapple,skunk 1,n,n,n,n
2383,pineapple super silver haze,super silver haze,pineapple,n,n,n,n,n
2384,pineapple thai,thai,n,n,n,n,n,n
2385,pineapple trainwreck,pineapple express,trainwreck,n,n,n,n,n
2386,pineapple upside down cake,pineapple trainwreck,cookie monster,n,n,n,n,n
2387,pineapple zest,ed rosenthal super bud,n,n,n,n,n,n
2388,pineberry,ringos gift,n,n,n,n,n,n
2389,pinewarp,n,n,n,n,n,n,n
2390,pink berry,pink champagne,blackberry,n,n,n,n,n
2391,pink bubba,bubba kush,pink kush,n,n,n,n,n
2392,pink champagne,granddaddy purple,cherry pie,n,n,n,n,n
2393,pink cookies,gsc,cherry pie,n,n,n,n,n
2394,pink death star,death star,n,n,n,n,n,n
2395,pink hawaiian,hawaiian,cotton candy kush,n,n,n,n,n
2396,pink kush,og kush,n,n,n,n,n,n
2397,pink lemonade,n,n,n,n,n,n,n
2398,pink mango,grapefruit,blackberry,blueberry,n,n,n,n
2399,pink panther,n,n,n,n,n,n,n
2400,pink panties,burmese kush,n,n,n,n,n,n
2401,pink pez,n,n,n,n,n,n,n
2402,pink starburst,dj short blueberry,headband,n,n,n,n,n
2403,pink sunset,sunset sherbet,n,n,n,n,n,n
2404,pinkman goo,n,n,n,n,n,n,n
2405,pinot green,ak-47,white widow,n,n,n,n,n
2406,pirate radio,sour bubble,n,n,n,n,n,n
2407,pitbull,p-91,sugar plum,n,n,n,n,n
2408,piña collision,n,n,n,n,n,n,n
2409,placenta,mother of all cherries,gmo cookies,n,n,n,n,n
2410,platinum bubba kush,platinum og,bubba kush,n,n,n,n,n
2411,platinum calyx,platinum girl scout cookies,n,n,n,n,n,n
2412,platinum gsc,durban poison,og kush,n,n,n,n,n
2413,platinum huckleberry cookies,platinum girl scout cookies,n,n,n,n,n,n
2414,platinum kush,og kush,n,n,n,n,n,n
2415,platinum og,master kush,og kush,n,n,n,n,n
2416,piña collision,n,n,n,n,n,n,n
2417,placenta,mother of all cherries,gmo cookies,n,n,n,n,n
2418,platinum bubba kush,platinum og,bubba kush,n,n,n,n,n
2419,platinum calyx,platinum girl scout cookies,n,n,n,n,n,n
2420,platinum gsc,durban poison,og kush,n,n,n,n,n
2421,platinum huckleberry cookies,platinum girl scout cookies,n,n,n,n,n,n
2422,platinum kush,og kush,n,n,n,n,n,n
2423,platinum og,master kush,og kush,n,n,n,n,n
2424,platinum purple kush,purple kush,n,n,n,n,n,n
2425,platinum sour diesel,sour diesel,platinum og,n,n,n,n,n
2426,platinum wreck,trainwreck,n,n,n,n,n,n
2427,plum dawg millionaire,gsc,chemdog 4,n,n,n,n,n
2428,plushberry,black cherry soda,space queen,n,n,n,n,n
2429,pluto kush,n,n,n,n,n,n,n
2430,poison haze,n,n,n,n,n,n,n
2431,pokie,n,n,n,n,n,n,n
2432,poochie love,dog shit,face off og,n,n,n,n,n
2433,pop rox,n,n,n,n,n,n,n
2434,popcorn kush,n,n,n,n,n,n,n
2435,pot of gold,hindu kush,skunk no 1,n,n,n,n,n
2436,powderhound,jack herer,n,n,n,n,n,n
2437,power kush,afghani,skunk no 1,n,n,n,n,n
2438,power plant,african,n,n,n,n,n,n
2439,power purps,n,n,n,n,n,n,n
2440,powernap,n,n,n,n,n,n,n
2441,prayer tower,appalachia,lemon thai,n,n,n,n,n
2442,pre-98 bubba kush,n,n,n,n,n,n,n
2443,predator pink,plushberry,starfighter,n,n,n,n,n
2444,presidential og,bubble gum,og kush,n,n,n,n,n
2445,prevention,romulan,blueberry,pre-98 bubba kush,n,n,n,n
2446,primus,trainwreck,303 og,n,n,n,n,n
2447,princess,jack herer,n,n,n,n,n,n
2448,princess’s tiara,cinderellas dream,headband,n,n,n,n,n
2449,prismatic jack,jack skellington,n,n,n,n,n,n
2450,professor chaos,jack the ripper,mad scientist,n,n,n,n,n
2451,project blue book,n,n,n,n,n,n,n
2452,n,n,n,n,n,n,n,n
2453,puna buddaz,n,n,n,n,n,n,n
2454,puna budder,hawaiian,afghani,n,n,n,n,n
2455,punky lion,chronic,n,n,n,n,n,n
2456,punto rojo (tierra adentro),n,n,n,n,n,n,n
2457,punxsy punch,fruity chronic juice,katsu bubba kush,n,n,n,n,n
2458,pura vida,appalachia,n,n,n,n,n,n
2459,pure afghan,afghani,n,n,n,n,n,n
2460,pure kush,og kush,n,n,n,n,n,n
2461,pure love,la confidential,n,n,n,n,n,n
2462,pure og,og kush,n,n,n,n,n,n
2463,pure power plant,african,north american indica,n,n,n,n,n
2464,purple ak-47,granddaddy purple,ak-47,n,n,n,n,n
2465,purple afghani,purple kush,afghani,n,n,n,n,n
2466,purple alien og,tahoe og kush,alien kush,alien og,n,n,n,n
2467,n,n,n,n,n,n,n,n
2468,purple arrow,n,n,n,n,n,n,n
2469,purple aurora,purple kush,n,n,n,n,n,n
2470,purple berry,granddaddy purple,blueberry,n,n,n,n,n
2471,purple berry skunk,purple skunk,blueberry,n,n,n,n,n
2472,purple ak-47,granddaddy purple,ak-47,n,n,n,n,n
2473,purple afghani,purple kush,afghani,n,n,n,n,n
2474,purple alien og,tahoe og kush,alien kush,alien og,n,n,n,n
2475,n,n,n,n,n,n,n,n
2476,purple arrow,n,n,n,n,n,n,n
2477,purple aurora,purple kush,n,n,n,n,n,n
2478,purple berry,granddaddy purple,blueberry,n,n,n,n,n
2479,purple berry skunk,purple skunk,blueberry,n,n,n,n,n
2480,purple bubba,bubba kush,purple kush,n,n,n,n,n
2481,purple bud,afghani,jamaican,hindu skunk,purple kush,n,n,n
2482,purple buddha,mendocino purps,n,n,n,n,n,n
2483,purple bush,n,n,n,n,n,n,n
2484,purple candy,n,n,n,n,n,n,n
2485,purple champagne,granddaddy purple,n,n,n,n,n,n
2486,purple cheddar,cheese,granddaddy purple,n,n,n,n,n
2487,purple cheese,blue cheese,lowryder,n,n,n,n,n
2488,purple chemdawg,chemdawg,granddaddy purple,n,n,n,n,n
2489,purple cotton candy,granddaddy purple,cotton candy kush,n,n,n,n,n
2490,purple cow,flo,dairy queen,n,n,n,n,n
2491,purple crack,green crack,blackwater,n,n,n,n,n
2492,purple cream,n,n,n,n,n,n,n
2493,purple diesel,pre-98 bubba kush,sour diesel,n,n,n,n,n
2494,purple dog shit,dog shit,purple urkle,n,n,n,n,n
2495,purple dragon,purple urkle,blue dragon,n,n,n,n,n
2496,purple dream,blue dream,granddaddy purple,n,n,n,n,n
2497,purple elephant,n,n,n,n,n,n,n
2498,purple frost,obama kush,skunk no 1,n,n,n,n,n
2499,purple glue,lvpk,original glue,n,n,n,n,n
2500,purple goat,trainwreck,blueberry skunk,n,n,n,n,n
2501,purple goo,n,n,n,n,n,n,n
2502,purple gorilla,n,n,n,n,n,n,n
2503,purple happy rancher,purple kush,happy rancher,n,n,n,n,n
2504,purple hashplant,n,n,n,n,n,n,n
2505,purple haze,haze,purple thai,n,n,n,n,n
2506,purple headband,headband,n,n,n,n,n,n
2507,purple hindu kush,purple afghani,hindu kush,n,n,n,n,n
2508,purple ice,n,n,n,n,n,n,n
2509,purple jack,purple kush,jack herer,n,n,n,n,n
2510,purple killer,purple urkle,purple kush,n,n,n,n,n
2511,purple kush,hindu kush,purple afghani,n,n,n,n,n
2512,purple linda,haze,purple urkle,n,n,n,n,n
2513,purple martian kush,purple kush,blackberry kush,martian mean green,n,n,n,n
2514,purple maui,n,n,n,n,n,n,n
2515,purple monkey balls,afghani,mendocino purps,n,n,n,n,n
2516,purple moss,n,n,n,n,n,n,n
2517,purple mr nice,granddaddy purple,mr nice,n,n,n,n,n
2518,purple nepal,n,n,n,n,n,n,n
2519,purple og kush,og kush,purple kush,n,n,n,n,n
2520,purple pantera,pink panther,grape krush,n,n,n,n,n
2521,purple panty dropper,purple haze,n,n,n,n,n,n
2522,purple paralysis,power plant,lavender,n,n,n,n,n
2523,purple passion,n,n,n,n,n,n,n
2524,purple people eater,granddaddy purple,pure afghan,purple urkle,n,n,n,n
2525,purple pie,uw,cherry pie,n,n,n,n,n
2526,purple pinecone,n,n,n,n,n,n,n
2527,purple power,skunk no 1,n,n,n,n,n,n
2528,purple pantera,pink panther,grape krush,n,n,n,n,n
2529,purple panty dropper,purple haze,n,n,n,n,n,n
2530,purple paralysis,power plant,lavender,n,n,n,n,n
2531,purple passion,n,n,n,n,n,n,n
2532,purple people eater,granddaddy purple,pure afghan,purple urkle,n,n,n,n
2533,purple pie,uw,cherry pie,n,n,n,n,n
2534,purple pinecone,n,n,n,n,n,n,n
2535,purple power,skunk no 1,n,n,n,n,n,n
2536,purple prevention,romulan,blueberry,pre-98 bubba kush,n,n,n,n
2537,purple princess,n,n,n,n,n,n,n
2538,purple punch,larry og,granddaddy purple,n,n,n,n,n
2539,purple raine,og kush,chemdawg,n,n,n,n,n
2540,purple rhino,mendocino purps,white rhino,n,n,n,n,n
2541,purple sage ,sage,n,n,n,n,n,n
2542,purple skunk,skunk no 1,n,n,n,n,n,n
2543,purple sour diesel,purple kush,sour diesel,n,n,n,n,n
2544,purple star,n,n,n,n,n,n,n
2545,purple swish,purple urkle,rare dankness 1,n,n,n,n,n
2546,purple tangie,tangie,n,n,n,n,n,n
2547,purple tears,querkle,delahaze,n,n,n,n,n
2548,purple thai,mexican,chocolate thai,n,n,n,n,n
2549,purple tide,og kush,granddaddy purple,n,n,n,n,n
2550,purple tonic,n,n,n,n,n,n,n
2551,purple trainwreck,trainwreck,mendocino purps,n,n,n,n,n
2552,purple urkle,mendocino purps,n,n,n,n,n,n
2553,purple voodoo,double purple doja,purple urkle,purple diesel,n,n,n,n
2554,purple widow,white widow,n,n,n,n,n,n
2555,purple wreck,purple urkle,trainwreck,n,n,n,n,n
2556,q3,n,n,n,n,n,n,n
2557,qleaner,jacks cleaner,querkle,n,n,n,n,n
2558,qrazy train,trainwreck,trinity,purple urkle,space queen,n,n,n
2559,quad dawg,n,n,n,n,n,n,n
2560,quantum kush,timewreck,n,n,n,n,n,n
2561,quebec gold,m-39,freezeland,n,n,n,n,n
2562,queen mother goji,snow lotus,n,n,n,n,n,n
2563,queens panties,dream queen,purple panty dropper,n,n,n,n,n
2564,querkle,purple urkle,space queen,n,n,n,n,n
2565,n,n,n,n,n,n,n,n
2566,quin-n-tonic,harlequin,cannatonic,n,n,n,n,n
2567,quiver killer kush,white fire og,alien kush,og kush,chemdog,triangle kush,n,n
2568,qush,pre-98 bubba kush,space queen,n,n,n,n,n
2569,r-4,reclining buddha,n,n,n,n,n,n
2570,rks,afghani,thai,n,n,n,n,n
2571,race fuel og,og kush,face off og,n,n,n,n,n
2572,rafael,n,n,n,n,n,n,n
2573,rainbow,blueberry,dancehall,n,n,n,n,n
2574,rainbow jones,casey jones,granddaddy purple,n,n,n,n,n
2575,raindance,deadhead og,chemdawg 4,chemdawg,n,n,n,n
2576,ramses,amnesia haze,n,n,n,n,n,n
2577,rare dankness 1,ghost og,chemdawg,triangle kush,n,n,n,n
2578,rare darkness,grape ape,rare dankness 1,n,n,n,n,n
2579,raskal og,og kush,sfv og kush,n,n,n,n,n
2580,raspberry cough,ice,cambodian,n,n,n,n,n
2581,raspberry diesel,sour diesel,n,n,n,n,n,n
2582,raspberry kush,n,n,n,n,n,n,n
2583,raspberry tart,amnesia haze,n,n,n,n,n,n
2584,ramses,amnesia haze,n,n,n,n,n,n
2585,rare dankness 1,ghost og,chemdawg,triangle kush,n,n,n,n
2586,rare darkness,grape ape,rare dankness 1,n,n,n,n,n
2587,raskal og,og kush,sfv og kush,n,n,n,n,n
2588,raspberry cough,ice,cambodian,n,n,n,n,n
2589,raspberry diesel,sour diesel,n,n,n,n,n,n
2590,raspberry kush,n,n,n,n,n,n,n
2591,raspberry tart,amnesia haze,n,n,n,n,n,n
2592,raw diesel,nyc diesel,g13 haze,n,n,n,n,n
2593,ray charles,n,n,n,n,n,n,n
2594,rebel berry og,blueberry cheesecake,og kush,n,n,n,n,n
2595,rebel god smoke,cinderella 99,n,n,n,n,n,n
2596,rebel tangie kandy,tangie,kandy kush,n,n,n,n,n
2597,reclining buddha,super skunk,hollands hope,n,n,n,n,n
2598,recon,la confidential,cannadential,n,n,n,n,n
2599,red cherry berry,skunk no 1,north american indica,n,n,n,n,n
2600,red congolese,african,mexican,afghani,n,n,n,n
2601,red diesel,nyc diesel,california orange,n,n,n,n,n
2602,red dragon,south american,afghani,n,n,n,n,n
2603,red dwarf,n,n,n,n,n,n,n
2604,red eye og,n,n,n,n,n,n,n
2605,red haze,nevilles haze,south american,n,n,n,n,n
2606,red headed stranger,willys wonder,haze,n,n,n,n,n
2607,red poison,green poison,hindu kush,n,n,n,n,n
2608,red rhino,master kush,n,n,n,n,n,n
2609,red velvet pie,cherry pie,n,n,n,n,n,n
2610,red widow,red dragon,white widow,n,n,n,n,n
2611,redd cross,spirit of 76,afghani,n,n,n,n,n
2612,redding og,n,n,n,n,n,n,n
2613,redwood kush,n,n,n,n,n,n,n
2614,remedy,cannatonic,afghan skunk,n,n,n,n,n
2615,remo chemo,n,n,n,n,n,n,n
2616,rene,afghani,skunk no 1,n,n,n,n,n
2617,rene mist,cannatonic,rene,n,n,n,n,n
2618,revival,n,n,n,n,n,n,n
2619,richie rich,northern lights 5,skunk no 1,n,n,n,n,n
2620,riddler og,sour dubble,master kush,n,n,n,n,n
2621,ridge berry,chems sister,sour dubble,n,n,n,n,n
2622,rigger kush,hindu kush,n,n,n,n,n,n
2623,ringos gift,harle-tsu,acdc,n,n,n,n,n
2624,rip city purps,purple urkle,sin city kush,n,n,n,n,n
2625,ripped bubba,pre-98 bubba kush,jack the ripper,n,n,n,n,n
2626,rise ‘n’ shine,green crack,sour bubble,n,n,n,n,n
2627,river song,dr who,blue j,n,n,n,n,n
2628,road dawg,stardawg,biker kush,n,n,n,n,n
2629,rob ford kush,n,n,n,n,n,n,n
2630,robert plant,blue dream,rebel god smoke,n,n,n,n,n
2631,rockbud,super skunk,afghani,afghan hawaiian,n,n,n,n
2632,rocket fuel,jet fuel,face off og,n,n,n,n,n
2633,rocklock,warlock,rockstar,n,n,n,n,n
2634,rockstar,rockbud,sensi star,n,n,n,n,n
2635,rockstar kush,rockstar,bubba kush,n,n,n,n,n
2636,rockstar master kush,master kush,sensi star,afghani,n,n,n,n
2637,rocky dennis,flo,sour dubble,n,n,n,n,n
2638,rocky mountain blueberry,shishkaberry,blueberry,n,n,n,n,n
2639,rocky mountain high,n,n,n,n,n,n,n
2640,rocket fuel,jet fuel,face off og,n,n,n,n,n
2641,rocklock,warlock,rockstar,n,n,n,n,n
2642,rockstar,rockbud,sensi star,n,n,n,n,n
2643,rockstar kush,rockstar,bubba kush,n,n,n,n,n
2644,rockstar master kush,master kush,sensi star,afghani,n,n,n,n
2645,rocky dennis,flo,sour dubble,n,n,n,n,n
2646,rocky mountain blueberry,shishkaberry,blueberry,n,n,n,n,n
2647,rocky mountain high,n,n,n,n,n,n,n
2648,rollex og kush,white fire og,kuchi,n,n,n,n,n
2649,rolls choice,chemdawg,og kush,n,n,n,n,n
2650,romping goddess,n,n,n,n,n,n,n
2651,romulan,north american indica,white rhino,n,n,n,n,n
2652,romulan grapefruit,n,n,n,n,n,n,n
2653,romulan haze,super silver haze,romulan,n,n,n,n,n
2654,root beer kush,n,n,n,n,n,n,n
2655,rose bud,n,n,n,n,n,n,n
2656,royal chemdawg,chemdawg 91,deadhead og,n,n,n,n,n
2657,royal dwarf,skunk no 1,n,n,n,n,n,n
2658,royal haze,haze,northern lights,skunk no 1,n,n,n,n
2659,royal highness,dancehall,n,n,n,n,n,n
2660,royal kush,afghani,skunk no 1,n,n,n,n,n
2661,royal salute,n,n,n,n,n,n,n
2662,royal tree sherbet,platinum girl scout cookies,n,n,n,n,n,n
2663,rozé,zkittlez,n,n,n,n,n,n
2664,rubicon,n,n,n,n,n,n,n
2665,rudeboi og,face off og,irene og,n,n,n,n,n
2666,rug burn og,ghost og,n,n,n,n,n,n
2667,russian assassin,skywalker,lemon og kush,headband,n,n,n,n
2668,russian doll,northern lights,ak-47,n,n,n,n,n
2669,russian rocket fuel,nyc diesel,n,n,n,n,n,n
2670,russian roulette,n,n,n,n,n,n,n
2671,sage,haze,afghani,n,n,n,n,n
2672,sage walker,albert walker,sage,n,n,n,n,n
2673,sfv dog,sfv og,chemdawg 4,n,n,n,n,n
2674,sfv og,og kush,n,n,n,n,n,n
2675,sfv og kush,sfv og,afghani,n,n,n,n,n
2676,n,n,n,n,n,n,n,n
2677,safety meeting,9 pound hammer,n,n,n,n,n,n
2678,sage n sour,sage,sour diesel,n,n,n,n,n
2679,salmon river og,pre-98 bubba kush,blue heron,n,n,n,n,n
2680,samoa kush,platinum gsc,bubba kush,n,n,n,n,n
2681,santa maria,silver pearl,n,n,n,n,n,n
2682,santa sativa,haze,northern lights,n,n,n,n,n
2683,sapphire cherries,n,n,n,n,n,n,n
2684,sapphire scout,girl scout cookies,true og,n,n,n,n,n
2685,sapphire star,blue hawaiian,god bud,n,n,n,n,n
2686,sasquatch sap,chems sister,chocolate diesel,n,n,n,n,n
2687,satellite og,og kush,sfv og,n,n,n,n,n
2688,satori,lucid dream,n,n,n,n,n,n
2689,satsuma,snow lotus,n,n,n,n,n,n
2690,saturn og,n,n,n,n,n,n,n
2691,savage citrus sunshine,citrus sunshine haze,n,n,n,n,n,n
2692,savants grail,n,n,n,n,n,n,n
2693,schrom,n,n,n,n,n,n,n
2694,scooby snacks,platinum girl scout cookies,face off og,n,n,n,n,n
2695,scotts og,triangle kush,rare dankness 1,n,n,n,n,n
2696,satori,lucid dream,n,n,n,n,n,n
2697,satsuma,snow lotus,n,n,n,n,n,n
2698,saturn og,n,n,n,n,n,n,n
2699,savage citrus sunshine,citrus sunshine haze,n,n,n,n,n,n
2700,savants grail,n,n,n,n,n,n,n
2701,schrom,n,n,n,n,n,n,n
2702,scooby snacks,platinum girl scout cookies,face off og,n,n,n,n,n
2703,scotts og,triangle kush,rare dankness 1,n,n,n,n,n
2704,scouts honor,og kush,n,n,n,n,n,n
2705,scroopy noopers,gsc,stardawg,n,n,n,n,n
2706,seattle blue,n,n,n,n,n,n,n
2707,seattle cough,haze,northern lights 5,n,n,n,n,n
2708,seattle summer,gorilla cookies,n,n,n,n,n,n
2709,seattlesoda,uw,n,n,n,n,n,n
2710,secret garden og,lavender,rug burn og,n,n,n,n,n
2711,secret recipe,chemdawg,abusive og,sour diesel,n,n,n,n
2712,sensi skunk,skunk 1,n,n,n,n,n,n
2713,sensi star,n,n,n,n,n,n,n
2714,sequoia strawberry,white strawberry,white nightmare,n,n,n,n,n
2715,sergerbloom haze,n,n,n,n,n,n,n
2716,serious 6,african,n,n,n,n,n,n
2717,serious happiness,ak-47,warlock,n,n,n,n,n
2718,sexxpot,mr nice,n,n,n,n,n,n
2719,shaman,n,n,n,n,n,n,n
2720,shaman’s dream,bubble gum,purple pantera,amnesia haze,n,n,n,n
2721,shangri-la,9 pound hammer,n,n,n,n,n,n
2722,shark attack,super skunk,white widow,n,n,n,n,n
2723,shark bite,n,n,n,n,n,n,n
2724,shark shock,white widow,skunk no 1,n,n,n,n,n
2725,sharksbreath,n,n,n,n,n,n,n
2726,sherbert,gsc,n,n,n,n,n,n
2727,shiatsu kush,n,n,n,n,n,n,n
2728,shining silver haze,super silver haze,n,n,n,n,n,n
2729,shipwreck,n,n,n,n,n,n,n
2730,shishkaberry,dj short blueberry,afghani,n,n,n,n,n
2731,shiskaquine,shishkaberry,harlequin,n,n,n,n,n
2732,shiva skunk,northern lights 5,skunk 1,n,n,n,n,n
2733,shoreline,n,n,n,n,n,n,n
2734,shurman,blueberry cheesecake,the white,n,n,n,n,n
2735,siddhartha’s dream,buddha’s tooth,n,n,n,n,n,n
2736,sidetracked,n,n,n,n,n,n,n
2737,sierra mist,n,n,n,n,n,n,n
2738,silver back,n,n,n,n,n,n,n
2739,silver bubble,haze,northern lights,skunk no 1,n,n,n,n
2740,silver calyx,grape calyx,gg4,n,n,n,n,n
2741,silver cindy,rebel god smoke,n,n,n,n,n,n
2742,silver haze,northern lights,haze,n,n,n,n,n
2743,silver kush,silver bubble,og 18,n,n,n,n,n
2744,silver mountain,n,n,n,n,n,n,n
2745,silver nina,n,n,n,n,n,n,n
2746,silver pearl,n,n,n,n,n,n,n
2747,silver surfer,n,n,n,n,n,n,n
2748,silver train,super silver haze,trainwreck,n,n,n,n,n
2749,silverback gorilla,n,n,n,n,n,n,n
2750,silverfalls kush,n,n,n,n,n,n,n
2751,silverhawks og,super silver haze,white fire alien og,n,n,n,n,n
2752,silver mountain,n,n,n,n,n,n,n
2753,silver nina,n,n,n,n,n,n,n
2754,silver pearl,n,n,n,n,n,n,n
2755,silver surfer,n,n,n,n,n,n,n
2756,silver train,super silver haze,trainwreck,n,n,n,n,n
2757,silverback gorilla,n,n,n,n,n,n,n
2758,silverfalls kush,n,n,n,n,n,n,n
2759,silverhawks og,super silver haze,white fire alien og,n,n,n,n,n
2760,sin city kush,lvpk,super snow dog,n,n,n,n,n
2761,sin valley og,sfv og,blue power,n,n,n,n,n
2762,sinmint cookies,girl scout cookies,blue power,n,n,n,n,n
2763,sinai,n,n,n,n,n,n,n
2764,sirius black,n,n,n,n,n,n,n
2765,sister glue,chems sister,chocolate diesel,sour dubble,n,n,n,n
2766,six shooter,haze,northern lights,super skunk,trainwreck,n,n,n
2767,sizzurp,cookies and cream,n,n,n,n,n,n
2768,skins skunk,afgoo,n,n,n,n,n,n
2769,skunk 47,skunk no 1,ak-47,n,n,n,n,n
2770,skunk dawg,super skunk,chemdawg,n,n,n,n,n
2771,skunk haze,n,n,n,n,n,n,n
2772,skunk no 1,afghani,acapulco gold,colombian gold,n,n,n,n
2773,skunk+,black domina,skunk no 1,n,n,n,n,n
2774,skunkberry,blueberry,n,n,n,n,n,n
2775,skunky diesel,skunk no 1,haze,n,n,n,n,n
2776,sky lotus,mazar x blueberry,snow lotus,n,n,n,n,n
2777,sky master,blue dream,master kush,n,n,n,n,n
2778,skydog,n,n,n,n,n,n,n
2779,skywalker alien,n,n,n,n,n,n,n
2780,slazerbeam,super lemon haze,n,n,n,n,n,n
2781,sleeskunk,sleestack,skunk no 1,n,n,n,n,n
2782,sleestack,schrom,martian mean green,n,n,n,n,n
2783,slice of heaven,iced grapefruit,n,n,n,n,n,n
2784,slimer og,ghost og,white fire alien og,n,n,n,n,n
2785,slurpie,granddaddy purple,bubba kush,sherbert,n,n,n,n
2786,smelliot,n,n,n,n,n,n,n
2787,smooth operator,purple trainwreck,rug burn og,n,n,n,n,n
2788,snoop dogg og,n,n,n,n,n,n,n
2789,snoops dream,blue dream,master kush,n,n,n,n,n
2790,snow bud,afghani,african,n,n,n,n,n
2791,snow diesel,east coast sour diesel,snow lotus,n,n,n,n,n
2792,snow goddess,n,n,n,n,n,n,n
2793,snow leopard,snow lotus,n,n,n,n,n,n
2794,snow lotus,afgooey,blockhead,n,n,n,n,n
2795,snow monster,the white,starfighter,n,n,n,n,n
2796,snow mountain,snowcap,pure kush,n,n,n,n,n
2797,snow ryder,n,n,n,n,n,n,n
2798,snow white,white widow,n,n,n,n,n,n
2799,snowland,snowcap,la confidential,n,n,n,n,n
2800,snowcap,haze,n,n,n,n,n,n
2801,sojay haze,bc big bud,n,n,n,n,n,n
2802,solo’s stash,n,n,n,n,n,n,n
2803,somango,super skunk,jack herer,n,n,n,n,n
2804,sonic screwdriver,trainwreck,n,n,n,n,n,n
2805,sonoma coma,n,n,n,n,n,n,n
2806,soraya,afghan kush,snow lotus,n,n,n,n,n
2807,sorbet 4,original glue,n,n,n,n,n,n
2808,snowcap,haze,n,n,n,n,n,n
2809,sojay haze,bc big bud,n,n,n,n,n,n
2810,solo’s stash,n,n,n,n,n,n,n
2811,somango,super skunk,jack herer,n,n,n,n,n
2812,sonic screwdriver,trainwreck,n,n,n,n,n,n
2813,sonoma coma,n,n,n,n,n,n,n
2814,soraya,afghan kush,snow lotus,n,n,n,n,n
2815,sorbet 4,original glue,n,n,n,n,n,n
2816,sorbet dreams,n,n,n,n,n,n,n
2817,sorbet stash,n,n,n,n,n,n,n
2818,sorbetto,n,n,n,n,n,n,n
2819,sorcerer’s apprentice,appalachia,n,n,n,n,n,n
2820,soul assassin og,n,n,n,n,n,n,n
2821,soul shine,n,n,n,n,n,n,n
2822,soulshine aloha,n,n,n,n,n,n,n
2823,sour alien,sour diesel,alien kush,n,n,n,n,n
2824,sour amnesia,sour diesel,amnesia,n,n,n,n,n
2825,sour ape,sour diesel,grape ape,n,n,n,n,n
2826,sour apple,sour diesel,cinderella 99,n,n,n,n,n
2827,sour banana sherbet,n,n,n,n,n,n,n
2828,sour blueberry,blueberry,sour diesel,n,n,n,n,n
2829,sour boggle,sour bubble,n,n,n,n,n,n
2830,sour breath,sour diesel,lambs bread,n,n,n,n,n
2831,sour bubba,sour diesel,bubba kush,n,n,n,n,n
2832,sour bubble,bog bubble,n,n,n,n,n,n
2833,sour candy,sour diesel,bubble gum,n,n,n,n,n
2834,sour cheese,cheese,sour diesel,n,n,n,n,n
2835,sour cherry sherbert,sunset sherbet,n,n,n,n,n,n
2836,sour chocolate,n,n,n,n,n,n,n
2837,sour chunk,deep chunk,east coast sour diesel,n,n,n,n,n
2838,sour cookies,girl scout cookies,sour diesel,n,n,n,n,n
2839,sour cream,sour diesel,g13 haze,n,n,n,n,n
2840,sour diesel,chemdog 91,super skunk,n,n,n,n,n
2841,sour dream,sour diesel,blue dream,n,n,n,n,n
2842,sour dubble,sour diesel,sour bubble,n,n,n,n,n
2843,sour flower,super silver haze,n,n,n,n,n,n
2844,sour grape,sour diesel,granddaddy purple,n,n,n,n,n
2845,sour haze,sour diesel,haze,n,n,n,n,n
2846,sour headband,sour diesel,headband,n,n,n,n,n
2847,sour jack,sour diesel,jack herer,n,n,n,n,n
2848,sour jilly,n,n,n,n,n,n,n
2849,sour joker,amnesia haze,east coast sour diesel,n,n,n,n,n
2850,sour kosher,sour diesel,kosher kush,n,n,n,n,n
2851,sour kush,sour diesel,og kush,n,n,n,n,n
2852,sour lsd,sour bubble,lsd,n,n,n,n,n
2853,sour lemon og,california sour,lemon og kush,n,n,n,n,n
2854,sour lemons,n,n,n,n,n,n,n
2855,sour lifesavers,n,n,n,n,n,n,n
2856,sour maui,sour diesel,maui wowie,n,n,n,n,n
2857,sour og,sour diesel,og kush,n,n,n,n,n
2858,sour patch kiss,kimbo kush,sour kush,n,n,n,n,n
2859,sour pebbles,fruity pebbles,n,n,n,n,n,n
2860,sour poison,sour diesel,durban poison,n,n,n,n,n
2861,sour power,starbud,east coast sour diesel,n,n,n,n,n
2862,sour power og,biker kush,sour power,n,n,n,n,n
2863,sour sorbet,sour diesel,n,n,n,n,n,n
2864,sour maui,sour diesel,maui wowie,n,n,n,n,n
