,strain,flavor_1,flavor_2,flavor_3
1406,iron triangle, 1. diesel, 2. lemon, 3. earthy 
1407,island haze, 1. sweet, 2. berry, 3. blueberry 
1408,island maui haze, 1. citrus, 2. mango, 3. tropical 
1409,island sweet skunk, 1. sweet, 2. skunk, 3. tropical 
1410,js famous kush, 1. skunk, 2. earthy, 3. pepper 
1411,j 27, 1. pungent, 2. citrus, 3. orange 
1412,j1, 1. citrus, 2. earthy, 3. lemon 
1413,jr, 1. earthy, 2. spicy/herbal, 3. pungent 
1414,jack 47, 1. lemon, 2. citrus, 3. lime 
1415,jack burton, 1. butter, 2. flowery, 3. rose 
1416,jack diesel, 1. sweet, 2. woody, 3. tropical 
1417,jack flash, 1. citrus, 2. earthy, 3. spicy/herbal 
1418,jack frost, 1. earthy, 2. pine, 3. citrus 
1419,jack haze, 1. earthy, 2. woody, 3. pungent 
1420,jack herer, 1. earthy, 2. pine, 3. woody 
1421,jack kush, 1. citrus, 2. lemon, 3. skunk 
1422,jack skellington, 1. earthy, 2. diesel, 3. citrus 
1423,jack smack, 1. earthy, 2. blueberry, 3. flowery 
1424,jack widow, 1. sweet, 2. mango, 3. earthy 
1425,jack wreck, 1. woody, 2. citrus, 3. earthy 
1426,jack of spades, 1. earthy, 2. pungent, 3. sweet 
1427,jack the ripper, 1. lemon, 2. pine, 3. citrus 
1428,jacks cleaner, 1. citrus, 2. lemon, 3. lime 
1429,jacks dream, 1. pine, 2. sweet, 3. berry 
1430,jackalope, 1. citrus, 2. earthy, 3. flowery 
1431,jacked up, 1. woody, 2. pungent, 3. earthy 
1432,jacky girl, 1. citrus ,,
1433,jacky white, 1. earthy, 2. flowery, 3. tropical 
1434,jacks dragon girl 7, 1. earthy, 2. spicy/herbal, 3. woody 
1435,jacks girl, 1. lemon, 2. citrus, 3. honey 
1436,jah goo, 1. diesel, 2. pungent, 3. earthy 
1437,jah kush, 1. pungent, 2. earthy, 3. woody 
1438,jackalope, 1. citrus, 2. earthy, 3. flowery 
1439,jacked up, 1. woody, 2. pungent, 3. earthy 
1440,jacky girl, 1. citrus ,,
1441,jacky white, 1. earthy, 2. flowery, 3. tropical 
1442,jacks dragon girl 7, 1. earthy, 2. spicy/herbal, 3. woody 
1443,jacks girl, 1. lemon, 2. citrus, 3. honey 
1444,jah goo, 1. diesel, 2. pungent, 3. earthy 
1445,jah kush, 1. pungent, 2. earthy, 3. woody 
1446,jahwaiian, 1. tropical, 2. sweet, 3. earthy 
1447,jamaican, 1. earthy, 2. woody, 3. spicy/herbal 
1448,jamaican dream, 1. earthy, 2. citrus, 3. tropical 
1449,jamaican lion, 1. earthy, 2. tropical, 3. nutty 
1450,jamaican pearl, 1. earthy, 2. pungent, 3. tropical 
1451,jamba juice, 1. berry, 2. earthy, 3. pine 
1452,jane doe, 1. apricot, 2. berry, 3. citrus 
1453,jasmin, 1. lavender, 2. rose, 3. flowery 
1454,jawa pie, 1. earthy, 2. skunk, 3. pungent 
1455,jazz, 1. citrus, 2. pepper, 3. flowery 
1456,jean guy, 1. lemon, 2. earthy, 3. citrus 
1457,jedi kush, 1. earthy, 2. pine, 3. pungent 
1458,jelly roll, 1. grapefruit, 2. sweet, 3. pine 
1459,jenni, 1. sweet, 2. berry, 3. tree fruit 
1460,jenny kush, 1. berry, 2. nutty, 3. earthy 
1461,jericho haze, 1. apple, 2. chestnut, 3. earthy 
1462,jesses girl, 1. berry, 2. pungent, 3. sweet 
1463,jesus, 1. citrus, 2. pine, 3. earthy 
1464,jesus og, 1. lemon, 2. citrus, 3. pungent 
1465,jet fuel, 1. diesel, 2. pungent, 3. earthy 
1466,jilly dawg, 1. pungent, 2. citrus, 3. grape 
1467,jillybean, 1. citrus, 2. sweet, 3. orange 
1468,jimi hendrix, 1. citrus, 2. earthy, 3. sweet 
1469,jock horror, 1. berry, 2. sweet, 3. earthy 
1470,johnnys tonic, 1. skunk, 2. flowery, 3. pungent 
1471,jorges diamond, 1. berry, 2. honey, 3. sweet 
1472,josh d og, 1. blue cheese, 2. pungent, 3. cheese 
1473,juicy fruit, 1. sweet, 2. earthy, 3. citrus 
1474,juicy jack, 1. citrus, 2. earthy, 3. sweet 
1475,juliet, 1. skunk, 2. pine, 3. earthy 
1476,julius caesar, 1. earthy, 2. sweet, 3. pine 
1477,jungle juice, 1. flowery, 2. citrus, 3. pine 
1478,jungle scout cookies, 1. berry, 2. earthy, 3. pine 
1479,jungle spice, 1. spicy/herbal, 2. woody ,
1480,jupiter og, 1. earthy, 2. pungent, 3. flowery 
1481,k train, 1. lavender, 2. earthy, 3. tree fruit 
1482,k1, 1. pine, 2. ammonia, 3. chemical 
1483,k2, 1. earthy, 2. woody, 3. pine 
1484,kc 33, 1. citrus, 2. lemon, 3. sweet 
1485,kc 36, 1. blueberry, 2. earthy, 3. flowery 
1486,kt dawg, 1. earthy, 2. woody, 3. tar 
1487,kaboom, 1. lemon, 2. earthy, 3. pine 
1488,kahuna, 1. orange, 2. pineapple, 3. pungent 
1489,k1, 1. pine, 2. ammonia, 3. chemical 
1490,k2, 1. earthy, 2. woody, 3. pine 
1491,kc 33, 1. citrus, 2. lemon, 3. sweet 
1492,kc 36, 1. blueberry, 2. earthy, 3. flowery 
1493,kt dawg, 1. earthy, 2. woody, 3. tar 
1494,kaboom, 1. lemon, 2. earthy, 3. pine 
1495,kahuna, 1. orange, 2. pineapple, 3. pungent 
1496,kaia kush, 1. spicy/herbal, 2. lemon, 3. citrus 
1497,kailua pua, 1. mango, 2. berry, 3. earthy 
1498,kalalau kush, 1. earthy, 2. mango, 3. pineapple 
1499,kalashnikova, 1. spicy/herbal, 2. sweet, 3. pine 
1500,kali 47, 1. sweet, 2. vanilla ,
1501,kali china, 1. mango, 2. spicy/herbal, 3. sweet 
1502,kali dog, 1. citrus, 2. lemon, 3. earthy 
1503,kali mist, 1. earthy, 2. citrus, 3. woody 
1504,kandahar, 1. apricot, 2. earthy, 3. honey 
1505,kandy kush, 1. sweet, 2. lemon, 3. earthy 
1506,kaptns grand dream, 1. ammonia, 2. blueberry, 3. earthy 
1507,karibbean mango, 1. mango, 2. earthy, 3. peach 
1508,karma bitch, 1. earthy, 2. coffee, 3. tea 
1509,karma og, 1. citrus, 2. earthy, 3. pine 
1510,karmarado og, 1. citrus, 2. grapefruit, 3. lemon 
1511,kashmir kush, 1. earthy, 2. sweet, 3. berry 
1512,katsu bubba kush, 1. earthy, 2. berry, 3. flowery 
1513,katsu kush, 1. pungent, 2. earthy, 3. sweet 
1514,kauai electric, 1. tropical, 2. earthy, 3. sweet 
1515,kelly hill gold, 1. earthy, 2. pepper, 3. coffee 
1516,kens kush, 1. plum, 2. earthy, 3. grape 
1517,kerala, 1. sage, 2. spicy/herbal ,
1518,kerala krush, 1. mango, 2. sweet, 3. orange 
1519,kerosene, 1. diesel ,,
1520,ketama, 1. cheese, 2. blue cheese, 3. butter 
1521,key lime pie, 1. lime, 2. sweet, 3. lemon 
1522,keystone kush, 1. earthy, 2. nutty, 3. citrus 
1523,khalifa kush, 1. lemon, 2. earthy, 3. citrus 
1524,khola, 1. earthy, 2. flowery, 3. spicy/herbal 
1525,khufu, 1. sweet, 2. pungent, 3. earthy 
1526,kid n cookies, 1. earthy, 2. nutty, 3. pine 
1527,kilimanjaro, 1. sweet, 2. earthy, 3. pine 
1528,kill bill, 1. rose, 2. pungent, 3. diesel 
1529,killer grape, 1. grape, 2. tropical, 3. berry 
1530,killer queen, 1. citrus, 2. earthy, 3. pine 
1531,killing fields, 1. earthy, 2. lemon, 3. citrus 
1532,kimbo kush, 1. earthy, 2. citrus, 3. flowery 
1533,king cake, 1. sweet, 2. skunk, 3. berry 
1534,king kong, 1. earthy, 2. flowery, 3. pungent 
1535,king louis, 1. earthy, 2. pine, 3. woody 
1536,king thunder fuck, 1. earthy, 2. citrus, 3. nutty 
1537,kings bread, 1. citrus, 2. lemon, 3. earthy 
1538,king kush, 1. earthy, 2. woody, 3. sweet 
1539,kiss, 1. cheese, 2. earthy, 3. skunk 
1540,kiwiskunk, 1. woody, 2. citrus, 3. pungent 
1541,kobain kush, 1. earthy, 2. spicy/herbal, 3. woody 
1542,king louis, 1. earthy, 2. pine, 3. woody 
1543,king thunder fuck, 1. earthy, 2. citrus, 3. nutty 
1544,kings bread, 1. citrus, 2. lemon, 3. earthy 
1545,king kush, 1. earthy, 2. woody, 3. sweet 
1546,kiss, 1. cheese, 2. earthy, 3. skunk 
1547,kiwiskunk, 1. woody, 2. citrus, 3. pungent 
1548,kobain kush, 1. earthy, 2. spicy/herbal, 3. woody 
1549,kona gold, 1. pineapple, 2. earthy, 3. sweet 
1550,kong, 1. earthy, 2. diesel, 3. sweet 
1551,kool aid smile, 1. berry, 2. rose, 3. grape 
1552,koolato, 1. citrus, 2. flowery, 3. menthol 
1553,kosher kush, 1. earthy, 2. pungent, 3. pine 
1554,kosher tangie, 1. orange, 2. citrus, 3. earthy 
1555,kraken, 1. earthy, 2. tea, 3. pepper 
1556,krishna kush, 1. berry, 2. spicy/herbal, 3. diesel 
1557,kritikal k, 1. sweet, 2. cheese, 3. pungent 
1558,kryptonite, 1. earthy, 2. flowery, 3. sweet 
1559,kuato, 1. orange, 2. pungent, 3. sweet 
1560,kubbie kush, 1. berry, 2. sweet, 3. earthy 
1561,kuchi, 1. earthy, 2. cheese, 3. lemon 
1562,kurple fantasy, 1. berry, 2. grape, 3. sweet 
1563,kush cleaner, 1. woody, 2. pine, 3. earthy 
1564,kush hemp, 1. coffee, 2. earthy, 3. pungent 
1565,kush rise, 1. earthy, 2. pungent, 3. sweet 
1566,kush n cheese, 1. sweet, 2. apple, 3. butter 
1567,kushadelic, 1. earthy, 2. pungent, 3. pine 
1568,kushage, 1. spicy/herbal, 2. woody, 3. earthy 
1569,kushashima, 1. pine, 2. pungent, 3. nutty 
1570,kushberry, 1. earthy, 2. berry, 3. blueberry 
1571,leagle eagle, 1. sweet, 2. pungent, 3. lemon 
1572,la sunshine, 1. citrus, 2. earthy, 3. nutty 
1573,lak federal reserve, 1. earthy, 2. woody, 3. nutty 
1574,la chocolat, 1. coffee, 2. earthy, 3. sweet 
1575,la confidential, 1. earthy, 2. pine, 3. woody 
1576,la jack, 1. apple, 2. berry, 3. tropical 
1577,la kookies, 1. sweet, 2. lemon, 3. pungent 
1578,la kush, 1. pine, 2. nutty, 3. pungent 
1579,la og, 1. earthy, 2. sweet, 3. pungent 
1580,la ultra, 1. chemical, 2. lemon, 3. lime 
1581,la woman, 1. pine, 2. sweet, 3. earthy 
1582,lapd, 1. diesel, 2. pepper, 3. pungent 
1583,lsd, 1. earthy, 2. citrus, 3. sweet 
1584,lvpk, 1. sweet, 2. earthy, 3. vanilla 
1585,la blanca, 1. woody, 2. earthy, 3. pepper 
1586,la blanca gold, 1. coffee, 2. earthy ,
1587,la nina, 1. earthy, 2. sweet ,
1588,la reina de africa, 1. flowery, 2. lavender, 3. spicy/herbal 
1589,lady liberty, 1. sweet ,,
1590,ladyburn 1974, 1. earthy, 2. pepper, 3. citrus 
1591,lsd, 1. earthy, 2. citrus, 3. sweet 
1592,lvpk, 1. sweet, 2. earthy, 3. vanilla 
1593,la blanca, 1. woody, 2. earthy, 3. pepper 
1594,la blanca gold, 1. coffee, 2. earthy ,
1595,la nina, 1. earthy, 2. sweet ,
1596,la reina de africa, 1. flowery, 2. lavender, 3. spicy/herbal 
1597,lady liberty, 1. sweet ,,
1598,ladyburn 1974, 1. earthy, 2. pepper, 3. citrus 
1599,lake of fire, 1. pine, 2. diesel, 3. pungent 
1600,lamb s bread, 1. earthy, 2. woody, 3. pungent 
1601,lambo og, 1. citrus, 2. earthy, 3. pine 
1602,lamborghini, 1. citrus, 2. diesel, 3. pine 
1603,lambs in space, 1. citrus, 2. mango, 3. peach 
1604,larry bird kush, 1. orange, 2. earthy, 3. mint 
1605,larry og, 1. lemon, 2. pine, 3. earthy 
1606,las vegas purple kush bx, 1. berry, 2. pungent, 3. citrus 
1607,lashkar gah, 1. earthy, 2. sweet, 3. berry 
1608,laughing buddha, 1. pungent, 2. earthy, 3. spicy/herbal 
1609,laughing gas, 1. diesel, 2. pine, 3. pungent 
1610,lavender, 1. lavender, 2. flowery, 3. spicy/herbal 
1611,lavender haze, 1. lavender, 2. earthy, 3. blueberry 
1612,lavender jones, 1. earthy, 2. lavender, 3. flowery 
1613,le silver royale, 1. cheese, 2. pine, 3. skunk 
1614,lee roy, 1. earthy, 2. citrus, 3. pungent 
1615,legalized og, 1. diesel, 2. pungent, 3. pine 
1616,legend og, 1. woody, 2. diesel, 3. pungent 
1617,legend of nigeria, 1. earthy, 2. diesel, 3. woody 
1618,legendary lemon, 1. apricot, 2. chemical, 3. blueberry 
1619,lem chem, 1. diesel, 2. earthy, 3. lemon 
1620,lemon alien dawg, 1. lemon, 2. sweet, 3. earthy 
1621,lemon banana sherbet, 1. sweet, 2. lemon, 3. citrus 
1622,lemon bananas, 1. sweet, 2. flowery, 3. tree fruit 
1623,lemon bubble, 1. lemon, 2. sweet, 3. pine 
1624,lemon cake, 1. lemon, 2. cheese, 3. citrus 
1625,lemon cookies, 1. lemon, 2. citrus, 3. lime 
1626,lemon crme, 1. lemon ,,
1627,lemon daddy, 1. citrus, 2. earthy, 3. skunk 
1628,lemon diesel, 1. lemon, 2. diesel, 3. citrus 
1629,lemon drop, 1. lemon, 2. citrus, 3. earthy 
1630,lemon fire, 1. lemon, 2. apple, 3. lime 
1631,lemon g, 1. lemon, 2. citrus, 3. earthy 
1632,lemon garlic og, 1. lemon, 2. cheese, 3. earthy 
1633,lemon haze, 1. lemon, 2. citrus, 3. sweet 
1634,lemon ice, 1. lemon, 2. lime, 3. diesel 
1635,lemon jack, 1. lemon, 2. citrus, 3. spicy/herbal 
1636,lemon jeffery, 1. lemon, 2. citrus, 3. ammonia 
1637,lemon kush, 1. lemon, 2. citrus, 3. earthy 
1638,lemon kush headband, 1. citrus, 2. lemon ,
1639,lemon larry lavender, 1. lemon, 2. citrus, 3. lavender 
1640,lemon marmalade, 1. lemon, 2. sweet, 3. citrus 
1641,lemon meringue, 1. lemon, 2. sweet, 3. citrus 
1642,lemon og haze, 1. lemon, 2. citrus, 3. earthy 
1643,lemon jack, 1. lemon, 2. citrus, 3. spicy/herbal 
1644,lemon jeffery, 1. lemon, 2. citrus, 3. ammonia 
1645,lemon kush, 1. lemon, 2. citrus, 3. earthy 
1646,lemon kush headband, 1. citrus, 2. lemon ,
1647,lemon larry lavender, 1. lemon, 2. citrus, 3. lavender 
1648,lemon marmalade, 1. lemon, 2. sweet, 3. citrus 
1649,lemon meringue, 1. lemon, 2. sweet, 3. citrus 
1650,lemon og haze, 1. lemon, 2. citrus, 3. earthy 
1651,lemon og, 1. lemon, 2. citrus, 3. earthy 
1652,lemon pie, 1. lemon, 2. citrus, 3. sweet 
1653,lemon sativa, 1. lemon, 2. citrus, 3. sweet 
1654,lemon skunk, 1. lemon, 2. skunk, 3. citrus 
1655,lemon sorbet 3, 1. earthy, 2. lemon, 3. spicy/herbal 
1656,lemon tangie, 1. lemon, 2. citrus, 3. woody 
1657,lemon thai, 1. lemon, 2. citrus, 3. sweet 
1658,lemon thai kush, 1. apricot, 2. citrus, 3. earthy 
1659,lemon tree, 1. lemon, 2. citrus, 3. diesel 
1660,lemon walker og, 1. citrus, 2. lemon, 3. spicy/herbal 
1661,lemon wreck, 1. lemon, 2. sweet, 3. earthy 
1662,lemon zest, 1. lemon, 2. pungent, 3. spicy/herbal 
1663,lemonberry, 1. lemon, 2. berry, 3. blueberry 
1664,lemonchello 28, 1. citrus, 2. lemon, 3. grape 
1665,lemonder, 1. lemon, 2. lavender, 3. citrus 
1666,lemonhead og, 1. lemon, 2. citrus, 3. earthy 
1667,lennon, 1. vanilla, 2. honey, 3. flowery 
1668,leonidas, 1. grape, 2. lavender, 3. violet 
1669,lethal purple, 1. flowery, 2. grape, 3. sweet 
1670,lifesaver, 1. sweet, 2. flowery, 3. earthy 
1671,lifestar, 1. mint, 2. ammonia, 3. apricot 
1672,lifter, 1. earthy, 2. woody, 3. diesel 
1673,light of jah, 1. pepper, 2. spicy/herbal, 3. woody 
1674,lil sebastian, 1. berry, 2. blueberry, 3. earthy 
1675,lime green skunk, 1. citrus, 2. sweet, 3. lime 
1676,key lime haze, 1. lime, 2. citrus, 3. sweet 
1677,lime purple mist, 1. berry, 2. lime, 3. blueberry 
1678,lime skunk, 1. lime, 2. skunk, 3. citrus 
1679,lime sorbet, 1. lime, 2. citrus, 3. sweet 
1680,lime tart, 1. apple, 2. blue cheese, 3. blueberry 
1681,limon, 1. lemon, 2. citrus, 3. diesel 
1682,lions gate, 1. citrus, 2. sage, 3. menthol 
1683,liquid butter, 1. butter, 2. sweet, 3. earthy 
1684,little devil, 1. lemon, 2. pine, 3. pungent 
1685,little dragon, 1. citrus, 2. woody, 3. flowery 
1686,locktite, 1. diesel, 2. earthy, 3. citrus 
1687,locomotion, 1. earthy, 2. diesel, 3. pungent 
1688,lodi dodi, 1. citrus, 2. sweet, 3. flowery 
1689,logic diesel, 1. diesel, 2. skunk, 3. chemical 
1690,longbottom leaf, 1. citrus, 2. diesel, 3. pine 
1691,loopy fruit, 1. chemical, 2. diesel, 3. spicy/herbal 
1692,lost coast hash plant, 1. flowery, 2. pine, 3. spicy/herbal 
1693,locktite, 1. diesel, 2. earthy, 3. citrus 
1694,locomotion, 1. earthy, 2. diesel, 3. pungent 
1695,lodi dodi, 1. citrus, 2. sweet, 3. flowery 
1696,logic diesel, 1. diesel, 2. skunk, 3. chemical 
1697,longbottom leaf, 1. citrus, 2. diesel, 3. pine 
1698,loopy fruit, 1. chemical, 2. diesel, 3. spicy/herbal 
1699,lost coast hash plant, 1. flowery, 2. pine, 3. spicy/herbal 
1700,lost coast og, 1. lemon, 2. citrus, 3. sweet 
1701,lost sierra night nurse, 1. chemical, 2. diesel, 3. sweet 
1702,loud dream, 1. sweet, 2. citrus, 3. pine 
1703,loud lemonade, 1. lemon ,,
1704,loud scout, 1. grape, 2. sweet, 3. tropical 
1705,love boat, 1. flowery ,,
1706,love potion, 1. lemon, 2. sweet, 3. spicy/herbal 
1707,love potion 9, 1. flowery, 2. earthy, 3. citrus 
1708,love triangle, 1. coffee, 2. earthy, 3. woody 
1709,lowryder, 1. earthy, 2. pine, 3. spicy/herbal 
1710,loyality, 1. pungent, 2. citrus, 3. earthy 
1711,luca brasi x sour diesel, 1. earthy, 2. pungent, 3. lemon 
1712,lucid bolt, 1. berry, 2. pine, 3. citrus 
1713,lucid dream, 1. spicy/herbal, 2. blueberry, 3. skunk 
1714,lucifer og, 1. diesel, 2. earthy, 3. nutty 
1715,lucky charms, 1. sweet, 2. grapefruit, 3. citrus 
1716,lucy, 1. earthy, 2. woody, 3. citrus 
1717,m 39, 1. spicy/herbal, 2. earthy, 3. citrus 
1718,mac, 1. diesel, 2. citrus, 3. earthy 
1719,mc1, 1. diesel, 2. pine, 3. berry 
1720,milf, 1. earthy, 2. sweet, 3. sage 
1721,mk ultra, 1. earthy, 2. woody, 3. pungent 
1722,mad dawg, 1. earthy, 2. sweet, 3. pine 
1723,mad scientist, 1. earthy, 2. woody, 3. pungent 
1724,madagascar, 1. earthy, 2. skunk, 3. sweet 
1725,madcow, 1. earthy, 2. sweet, 3. nutty 
1726,madman og, 1. earthy, 2. pine, 3. coffee 
1727,madzilla, 1. berry, 2. earthy, 3. pine 
1728,mag 91, 1. chemical, 2. pine ,
1729,mag landrace, 1. earthy, 2. sweet, 3. spicy/herbal 
1730,magellan, 1. pungent, 2. diesel, 3. woody 
1731,magic beans og, 1. lemon, 2. pine, 3. woody 
1732,magic jordan, 1. citrus, 2. mint, 3. sage 
1733,magic melon, 1. apple, 2. strawberry, 3. tree fruit 
1734,magnificent mile, 1. tobacco, 2. berry, 3. diesel 
1735,magnum, 1. woody, 2. pine, 3. lemon 
1736,magnum opus, 1. diesel, 2. earthy, 3. lemon 
1737,magnum pi, 1. citrus, 2. pungent, 3. apricot 
1738,mai tai cookies, 1. tree fruit, 2. tea, 3. orange 
1739,majestic 12, 1. earthy, 2. berry, 3. lavender 
1740,mako haze, 1. earthy, 2. spicy/herbal, 3. cheese 
1741,malakoff, 1. sweet, 2. earthy, 3. tobacco 
1742,malawi, 1. earthy, 2. spicy/herbal, 3. woody 
1743,malawi gold, 1. citrus, 2. tropical, 3. lemon 
1744,magnum opus, 1. diesel, 2. earthy, 3. lemon 
1745,magnum pi, 1. citrus, 2. pungent, 3. apricot 
1746,mai tai cookies, 1. tree fruit, 2. tea, 3. orange 
1747,majestic 12, 1. earthy, 2. berry, 3. lavender 
1748,mako haze, 1. earthy, 2. spicy/herbal, 3. cheese 
1749,malakoff, 1. sweet, 2. earthy, 3. tobacco 
1750,malawi, 1. earthy, 2. spicy/herbal, 3. woody 
1751,malawi gold, 1. citrus, 2. tropical, 3. lemon 
1752,mammoth, 1. honey, 2. earthy, 3. woody 
1753,mandala 1, 1. apple, 2. earthy, 3. berry 
1754,mandarin cookies, 1. citrus, 2. orange, 3. sweet 
1755,mandarin dreams, 1. sweet, 2. tropical, 3. citrus 
1756,mandarin sunset, 1. orange, 2. sweet, 3. citrus 
1757,mandarin zkittlez, 1. citrus, 2. grapefruit, 3. lemon 
1758,mango, 1. mango, 2. sweet, 3. tropical 
1759,mango dream, 1. mango, 2. citrus, 3. sweet 
1760,mango habanero, 1. spicy/herbal, 2. butter, 3. coffee 
1761,mango kush, 1. mango, 2. tropical, 3. sweet 
1762,mango sapphire, 1. sweet, 2. citrus, 3. mango 
1763,mango sherbert, 1. mango, 2. skunk, 3. citrus 
1764,mango tango, 1. mango, 2. sweet, 3. peach 
1765,mangolicious, 1. mango, 2. pineapple, 3. sweet 
1766,manitoba poison, 1. earthy, 2. cheese, 3. woody 
1767,maple leaf indica, 1. woody, 2. honey, 3. spicy/herbal 
1768,maramota 10, 1. berry, 2. earthy, 3. sweet 
1769,marcosus marshmellow, 1. mint, 2. orange, 3. tropical 
1770,margaret cho g, 1. grapefruit, 2. honey, 3. sweet 
1771,marionberry kush, 1. berry, 2. earthy, 3. woody 
1772,marionberry pie, 1. berry, 2. pungent, 3. sweet 
1773,marleys collie, 1. citrus, 2. lemon, 3. menthol 
1774,marmalade, 1. sweet, 2. skunk, 3. earthy 
1775,mars og, 1. earthy, 2. woody, 3. pungent 
1776,martian candy, 1. earthy, 2. sweet, 3. woody 
1777,martian mean green, 1. lemon, 2. lime, 3. citrus 
1778,martian muffins, 1. nutty, 2. plum, 3. skunk 
1779,master bubba, 1. earthy, 2. pungent, 3. skunk 
1780,master jedi, 1. pine, 2. earthy, 3. pungent 
1781,master kush, 1. earthy, 2. pungent, 3. pine 
1782,master og, 1. earthy, 2. pine, 3. woody 
1783,master skunk, 1. skunk, 2. pungent, 3. earthy 
1784,master yoda, 1. earthy, 2. pungent, 3. woody 
1785,matanuska thunder fuck, 1. nutty, 2. sweet, 3. flowery 
1786,mataro blue, 1. berry, 2. sweet, 3. citrus 
1787,maui, 1. tropical, 2. citrus, 3. skunk 
1788,maui berry, 1. berry, 2. citrus, 3. pungent 
1789,maui bubble gift, 1. sweet, 2. earthy, 3. woody 
1790,maui citrus punch, 1. citrus, 2. earthy, 3. spicy/herbal 
1791,maui haole, 1. pungent, 2. tropical, 3. earthy 
1792,maui mango diesel, 1. mango, 2. citrus, 3. sweet 
1793,maui wowie, 1. pineapple, 2. tropical, 3. sweet 
1794,maui, 1. tropical, 2. citrus, 3. skunk 
1795,maui berry, 1. berry, 2. citrus, 3. pungent 
1796,maui bubble gift, 1. sweet, 2. earthy, 3. woody 
1797,maui citrus punch, 1. citrus, 2. earthy, 3. spicy/herbal 
1798,maui haole, 1. pungent, 2. tropical, 3. earthy 
1799,maui mango diesel, 1. mango, 2. citrus, 3. sweet 
1800,maui wowie, 1. pineapple, 2. tropical, 3. sweet 
1801,mazar i sharif, 1. earthy, 2. pepper, 3. woody 
1802,mazar kush, 1. earthy, 2. flowery, 3. rose 
1803,mazar x blueberry, 1. blueberry, 2. earthy, 3. sweet 
1804,mazar x blueberry, 1. blueberry, 2. earthy, 3. sweet 
1805,mazari, 1. blueberry, 2. skunk, 3. spicy/herbal 
1806,mean misty, 1. flowery, 2. sweet ,
1807,medihaze, 1. earthy, 2. sweet, 3. woody 
1808,medibud, 1. sweet, 2. flowery, 3. tea 
1809,medicine man, 1. earthy, 2. flowery, 3. citrus 
1810,medicine woman, 1. earthy, 2. diesel, 3. citrus 
1811,medusa, 1. sweet, 2. earthy, 3. blueberry 
1812,mega jackpot, 1. berry, 2. flowery, 3. apple 
1813,megalodon, 1. earthy, 2. spicy/herbal, 3. pepper 
1814,mekamika haze, 1. flowery, 2. mango, 3. pineapple 
1815,melon gum, 1. lavender, 2. pungent, 3. woody 
1816,member berry, 1. berry, 2. sweet, 3. apricot 
1817,memory loss, 1. earthy, 2. woody, 3. citrus 
1818,mendo afgoo, 1. earthy, 2. sweet, 3. pungent 
1819,mendo breath, 1. earthy, 2. sweet, 3. vanilla 
1820,mendo queen, 1. earthy, 2. tobacco, 3. woody 
1821,mendocino madness, 1. chestnut, 2. earthy ,
1822,mendocino purps, 1. berry, 2. woody, 3. earthy 
1823,mercury og, 1. earthy, 2. woody, 3. pungent 
1824,merlot og, 1. butter, 2. earthy, 3. woody 
1825,mexican, 1. earthy, 2. pungent, 3. woody 
1826,mexican sativa, 1. earthy, 2. pine, 3. woody 
1827,michael phelps og, 1. pine, 2. pungent, 3. diesel 
1828,mickey kush, 1. earthy, 2. sweet, 3. lemon 
1829,middlefork, 1. sweet, 2. berry, 3. citrus 
1830,middlefork x pineapple express, 1. pineapple, 2. grape, 3. honey 
1831,midnight, 1. earthy, 2. sweet, 3. pungent 
1832,mighty glue, 1. woody, 2. earthy, 3. butter 
1833,milky way, 1. sweet, 2. flowery, 3. lavender 
1834,millennium, 1. blueberry, 2. earthy, 3. berry 
1835,mimosa, 1. citrus, 2. sweet, 3. orange 
1836,mint chocolate chip, 1. mint, 2. diesel, 3. pungent 
1837,mission kush, 1. pine ,,
1838,misty kush, 1. earthy, 2. citrus, 3. sweet 
1839,milky way, 1. sweet, 2. flowery, 3. lavender 
1840,millennium, 1. blueberry, 2. earthy, 3. berry 
1841,mimosa, 1. citrus, 2. sweet, 3. orange 
1842,mint chocolate chip, 1. mint, 2. diesel, 3. pungent 
1843,mission kush, 1. pine ,,
1844,misty kush, 1. earthy, 2. citrus, 3. sweet 
1845,misty morning, 1. earthy, 2. flowery, 3. pungent 
1846,mob boss, 1. earthy, 2. pungent, 3. citrus 
1847,moby dick, 1. earthy, 2. citrus, 3. sweet 
1848,mochi, 1. sweet, 2. flowery, 3. pungent 
1849,molokai frost, 1. tropical, 2. earthy, 3. pungent 
1850,molokai purpz, 1. berry, 2. grape, 3. flowery 
1851,money maker, 1. earthy, 2. spicy/herbal, 3. woody 
1852,monkey paw, 1. earthy, 2. citrus, 3. skunk 
1853,monolith, 1. pungent, 2. earthy, 3. pine 
1854,monster cookies, 1. earthy, 2. woody, 3. grape 
1855,monster og, 1. citrus, 2. pungent, 3. tropical 
1856,montana silvertip, 1. earthy, 2. pungent, 3. lavender 
1857,moon cookies, 1. earthy, 2. citrus, 3. blueberry 
1858,moon drops, 1. grape, 2. skunk, 3. sweet 
1859,moonbeam, 1. earthy, 2. sweet, 3. flowery 
1860,moondance, 1. citrus, 2. earthy, 3. flowery 
1861,moonshine haze, 1. earthy, 2. flowery, 3. woody 
1862,moonwalker kush, 1. earthy, 2. tropical, 3. pine 
1863,moose and lobsta, 1. diesel, 2. sweet, 3. cheese 
1864,more cowbell, 1. berry, 2. nutty, 3. spicy/herbal 
1865,morning glory, 1. citrus, 2. mango, 3. nutty 
